date_daily,year,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,path,path_intra_wide,dffr1_intra_wide,dffr1_intra_wide,DNY2_long,DNY3M,DNY6M,DNY1,DNY2,DNY3,DNY5,DNY10,DNF1,DNF2,DNF3,DNF5,DNF10,DRY2,DRY3,DRY5,DRY10,DRF2,DRF3,DRF5,DRF10,path_m,stratRF3,Dbkeveny2,Dbkeveny3,Dbkeveny5,Dbkeveny10,DIF2,DIF3,DIF5,DIF10
07mar2000,2000,0,.0064548,.0170739,.0100021,.0050049,0,-.0079709,.012657,.0064548,.0064548,-.0588999,-.02,-.01,-.0307999,,,-.0366001,.0002999,-.0651999,,,.0261002,.0354996,,,-.0184002,-.0215001,,,-.0301003,-.0149002,,0,,,-.0181999,.0218,,,.0562005,.0503998
08mar2000,2000,0,.0067354,-.0050049,.0049973,0,0,.0123542,.0070284,.0067354,.0067354,.0085001,0,.02,.0065999,,,-.0077,.0141001,-.0107002,,,-.0212998,.0772004,,,.0005002,0,,,-.0004001,-.0004997,,0,,,-.0081999,.0141001,,,-.0208998,.0777001
14mar2000,2000,0,-.0091126,0,-.0050049,.0050049,0,.0040101,.0045748,-.0091126,-.0091126,-.0296998,-.02,-.01,-.0033998,,,-.0535002,-.0608001,-.0267,,,-.0592999,-.0792003,,,-.0188999,-.0145998,,,-.0216999,-.0011997,,0,,,-.0346,-.0462,,,-.0376,-.0780005
15mar2000,2000,0,0,-.0051638,.0049973,0,.0049973,.0128826,.0066835,0,0,.0156999,-.02,0,.0184002,,,-.0153003,-.0422997,.0232997,,,-.0606999,-.0671,,,-.0345001,-.0131001,,,-.0001001,.0018997,,0,,,.0192001,-.0292001,,,-.0605998,-.0689998
21mar2000,2000,1,-.0310066,.0330737,-.0100021,0,0,-.0028683,.0056992,-.0310066,-.0310066,-.0067997,-.04,-.04,-.0096998,,,-.0297003,-.0448003,-.0174003,,,-.0832,-.0198002,,,-.0181003,-.0132003,,,-.0151,-.0093002,-.0028683,0,,,-.0116,-.0316,,,-.0681,-.0105
22mar2000,2000,0,.017239,-.0127419,-.0050049,.0100021,.0050049,-.0038315,.0074635,.017239,.017239,-.0146999,0,-.02,-.0085998,,,-.0058999,.0100002,-.0184999,,,.0179,.0272002,,,-.0383,-.0307999,,,-.0393,-.0267,,0,,,.0324001,.0408001,,,.0572,.0539002
28mar2000,2000,0,.0050049,-.0113268,.0100021,.0050049,.0149994,-.0053209,.009281,.0050049,.0050049,-.0416002,0,-.02,-.0206003,,,-.0507998,-.0212002,-.0448003,,,-.0271001,.0293999,,,-.0110998,-.0114999,,,-.0042,-.0182998,,0,,,-.0397,-.0097001,,,-.0229001,.0476997
29mar2000,2000,0,.0100021,.00032,.0199966,.015007,.0249939,-.0032834,.0167732,.0100021,.0100021,-.0029998,.01,.01,-.0005999,,,-.0046,.0073004,-.0057001,,,-.0014,.0372,,,-.0077004,-.0076003,,,-.0085998,-.0075002,,0,,,.0031002,.0149,,,.0071998,.0447001
04apr2000,2000,0,0,-.0129293,.0299988,.0550003,.0550003,-.1484495,.0248351,0,0,-.1266999,-.04,-.08,-.0844002,,,-.1332002,-.0835996,-.1283998,,,-.0694003,-.0272999,,,-.0020001,-.0123,,,-.0014,-.0306001,,0,,,-.1311998,-.0713,,,-.0680003,.0033002
05apr2000,2000,0,0,0,-.0350037,-.0250015,-.0299988,.0680329,-.0081761,0,0,.0119996,.03,.02,.0124002,,,.0135999,.0064998,-.0016003,,,-.0014,.0127997,,,.0094001,.0123999,,,.0244002,.0102,,0,,,.0042,-.0058999,,,-.0258002,.0025997
