year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1982,10,,,,,,,,,,9.3199997,10.91,11.064025,,,,458.59872,389.20447,488.77859,395.76572,875.35254,.2642,,,,,,,,,,,,
1982,11,,,,,,,,,,9.1599998,10.55,10.749026,,,,458.49673,388.82056,492.66046,396.08536,875.21472,.53460002,,,,,,,,,,,,
1982,12,,,,,,,,,,8.9099998,10.54,10.715155,,,,458.19016,388.09079,493.72104,396.29422,876.02393,.74529999,,,,,,,,,,,,
1983,1,,,,,,,,,,8.6199999,10.46,10.938024,,,,458.39465,389.99341,497.16568,396.69604,876.34393,.37220001,,,,,,,,,,,,
1983,2,,,,,,,,,,8.9200001,10.72,11.092295,,,,458.49673,389.36349,498.94458,396.87036,877.22681,.31869999,,,,,,,,,,,,
1983,3,,,,,,,,,,9.04,10.51,10.831335,,,,458.59872,390.17828,502.32825,396.99289,876.87256,.20909999,,,,,,,,,,,,
1983,4,,,,,,,,,,8.9799995,10.4,10.71583,,,,459.30975,391.36316,505.93256,397.2901,878.47766,.098700002,,,,,,,,,,,,
1983,5,,,,,,,,,,8.8999996,10.38,10.769586,,,,459.71381,392.05762,510.05536,397.50171,878.39014,-.086900003,,,,,,,,,,,,
1983,6,,,,,,,,,,9.6599998,10.85,11.006209,,,,459.91522,392.65826,511.43344,397.79236,880.27112,.064499997,,,,,,,,,,,,
1983,7,,,,,,,,,,10.2,11.38,11.557611,,,,460.31683,394.16129,511.82874,398.22668,880.24762,-.076800004,,,,,,,,,,,,
1983,8,,,,,,,,,,10.53,11.85,11.966966,,,,460.61697,395.25485,509.01776,398.58371,880.97113,-.1522,,,,,,,,,,,,
1983,9,,,,,,,,,,10.16,11.65,11.797814,,,,460.91623,396.74048,511.83722,398.89911,881.63586,-.062100001,,,,,,,,,,,,
1983,10,,,,,,,,,,9.8100004,11.54,11.797405,,,,461.31384,397.56998,512.19067,399.11014,881.19049,-.061999999,,,,,,,,,,,,
1983,11,,,,,,,,,,9.9399996,11.69,11.860969,,,,461.61102,397.9231,510.78143,399.31686,883.23419,.056899998,,,,,,,,,,,,
1983,12,,,,,,,,,,10.11,11.83,11.951729,,,,461.90732,398.45166,510.17438,399.4827,884.4165,.119,,,,,,,,,,,,
1984,1,,,,,,,,,,9.8999996,11.67,11.802872,,,,462.59528,400.40842,511.39493,399.90338,884.03656,.031300001,,,,,,,,,,,,
1984,2,,,,,,,,,,10.04,11.84,11.933495,,,,463.0838,400.86014,505.73099,400.44385,885.14258,-.044199999,,,,,,,,,,,,
1984,3,,,,,,,,,,10.59,12.32,12.408113,,,,463.37576,401.34671,505.91223,400.73477,885.52618,.0572,,,,,,,,,,,,
1984,4,,,,,,,,,,10.9,12.63,12.646335,,,,463.76373,401.98203,506.01901,401.02509,885.57831,.1179,,,,,,,,,,,,
1984,5,,,,,,,,,,11.66,13.41,13.339064,,,,463.95715,402.44693,505.18689,401.17969,887.26678,-.2483,,,,,,,,,,,,
1984,6,,,,,,,,,,12.08,13.56,13.397343,,,,464.15021,402.8114,503.12531,401.39447,886.99976,-.0251,,,,,,,,,,,,
1984,7,,,,,,,,,,12.03,13.36,13.202876,,,,464.53519,403.12735,501.85855,401.746,886.40784,-.1016,,,,,,,,,,,,
1984,8,,,,,,,,,,11.82,12.72,12.446926,,,,464.82297,403.21979,510.26541,402.04916,888.93781,.1911,,,,,,,,,,,,
1984,9,,,,,,,,,,11.58,12.52,12.071995,,,,465.10992,403.03961,511.28369,402.22443,887.31982,-.024599999,,,,,,,,,,,,
1984,10,,,,,,,,,,10.9,12.16,11.832409,,,,465.49124,402.88153,510.48462,402.44287,888.0047,-.2017,,,,,,,,,,,,
1984,11,,,,,,,,,,9.8199997,11.57,11.648026,,,,465.68134,403.26605,511.31454,402.6355,887.99298,-.093500003,,,,,,,,,,,,
1984,12,,,,,,,,,,9.3299999,11.5,11.767,,,,465.87109,403.38141,510.3446,402.95084,888.94226,-.056299999,,,,,,,,,,,,
1985,1,,,,,,,,,,9.0200005,11.38,11.756538,,,,466.06049,403.21164,514.41321,403.43726,888.26715,-.080499999,,,,,,,,,,,,
1985,2,,,,,,,,,,9.29,11.51,11.728039,,,,466.62653,403.56485,519.80548,403.85269,889.98511,-.1209,,,,,,,,,,,,
1985,3,,,,,,,,,,9.8599997,11.86,12.050958,,,,467.09579,403.71478,518.96735,404.16553,889.65161,.088799998,,,,,,,,,,,,
1985,4,,,,,,,,,,9.1400003,11.43,11.876204,,,,467.2829,403.44565,519.59851,404.26294,890.07831,-.058400001,,,,,,,,,,,,
1985,5,,,,,,,,,,8.46,10.85,11.510881,,,,467.46964,403.59772,522.06049,404.42749,890.23486,-.21870001,,,,,,,,,,,,
1985,6,,,,,,,,,,7.8000002,10.16,10.74951,,,,467.74908,403.65689,524.11438,404.61938,890.27789,.14470001,,,,,,,,,,,,
1985,7,,,,,,,,,,7.8600001,10.31,10.940782,,,,467.93497,403.00494,526.00824,404.79584,891.53931,.1125,,,,,,,,,,,,
1985,8,,,,,,,,,,8.0500002,10.33,10.968063,,,,468.12048,403.41699,523.80701,405.04465,892.57526,.1047,,,,,,,,,,,,
