date,FOMCmeeting,unscheduled,twodays,IsConfCall,weirdOct87ConfCall,minutes,statement,pressconference
12/22/1992,1,0,0,0,0,1,0,0
1/6/1993,1,0,0,1,0,0,0,0
2/3/1993,1,0,1,0,0,1,0,0
2/18/1993,1,0,0,1,0,0,0,0
3/1/1993,1,0,0,1,0,0,0,0
3/23/1993,1,0,0,0,0,1,0,0
5/18/1993,1,0,0,0,0,1,0,0
7/7/1993,1,0,1,0,0,1,0,0
8/17/1993,1,0,0,0,0,1,0,0
9/21/1993,1,0,0,0,0,1,0,0
10/5/1993,1,0,0,1,0,0,0,0
10/15/1993,1,0,0,1,0,0,0,0
10/22/1993,1,0,0,1,0,0,0,0
11/9/1993,1,0,0,1,0,0,0,0
11/10/1993,1,0,0,1,0,0,0,0
11/16/1993,1,0,0,0,0,1,0,0
12/21/1993,1,0,0,0,0,1,0,0
2/4/1994,1,0,1,0,0,1,1,0
2/28/1994,1,0,0,1,0,0,0,0
3/22/1994,1,0,0,0,0,1,1,0
3/24/1994,1,0,0,1,0,0,0,0
4/18/1994,1,0,0,1,0,1,1,0
5/17/1994,1,0,0,0,0,1,1,0
7/6/1994,1,0,1,0,0,1,0,0
7/20/1994,1,0,0,1,0,0,0,0
8/16/1994,1,0,0,0,0,1,1,0
9/27/1994,1,0,0,0,0,1,0,0
11/15/1994,1,0,0,0,0,1,1,0
12/20/1994,1,0,0,0,0,1,0,0
12/30/1994,1,0,0,1,0,1,0,0
1/13/1995,1,0,0,1,0,0,0,0
2/1/1995,1,0,1,0,0,1,1,0
3/10/1995,1,0,0,1,0,0,0,0
3/28/1995,1,0,0,0,0,1,0,0
4/28/1995,1,0,0,1,0,0,0,0
5/23/1995,1,0,0,0,0,1,0,0
7/6/1995,1,0,1,0,0,1,1,0
8/22/1995,1,0,0,0,0,1,0,0
9/26/1995,1,0,0,0,0,1,0,0
11/15/1995,1,0,0,0,0,1,0,0
12/19/1995,1,0,0,0,0,1,1,0
1/31/1996,1,0,1,0,0,1,1,0
3/26/1996,1,0,0,0,0,1,0,0
5/21/1996,1,0,0,0,0,1,0,0
7/3/1996,1,0,1,0,0,1,0,0
8/20/1996,1,0,0,0,0,1,0,0
9/24/1996,1,0,0,0,0,1,0,0
11/13/1996,1,0,0,0,0,1,0,0
12/17/1996,1,0,0,0,0,1,0,0
2/5/1997,1,0,1,0,0,1,0,0
3/25/1997,1,0,0,0,0,1,1,0
5/20/1997,1,0,0,0,0,1,0,0
7/2/1997,1,0,1,0,0,1,0,0
8/19/1997,1,0,0,0,0,1,0,0
9/30/1997,1,0,0,0,0,1,0,0
11/12/1997,1,0,0,0,0,1,0,0
12/16/1997,1,0,0,0,0,1,0,0
2/4/1998,1,0,1,0,0,1,0,0
3/31/1998,1,0,0,0,0,1,0,0
5/19/1998,1,0,0,0,0,1,0,0
7/1/1998,1,0,1,0,0,1,0,0
8/18/1998,1,0,0,0,0,1,0,0
9/21/1998,1,0,0,1,0,0,0,0
9/29/1998,1,0,0,0,0,1,1,0
10/15/1998,1,0,0,1,0,0,1,0
11/17/1998,1,0,0,0,0,1,1,0
12/22/1998,1,0,0,0,0,1,0,0
2/3/1999,1,0,1,0,0,1,0,0
3/30/1999,1,0,0,0,0,1,0,0
5/18/1999,1,0,0,0,0,1,1,0
6/30/1999,1,0,1,0,0,,1,0
8/24/1999,1,0,0,0,0,,1,0
10/5/1999,1,0,0,0,0,,1,0
11/16/1999,1,0,0,0,0,,1,0
12/21/1999,1,0,0,0,0,,1,0
2/2/2000,1,0,1,0,0,,1,0
3/21/2000,1,0,0,0,0,,1,0
5/16/2000,1,0,0,0,0,,1,0
6/28/2000,1,0,1,0,0,,1,0
8/22/2000,1,0,0,0,0,,1,0
10/3/2000,1,0,0,0,0,,1,0
11/15/2000,1,0,0,0,0,,1,0
12/19/2000,1,0,0,0,0,,1,0
1/3/2001,1,0,0,1,0,,1,0
1/31/2001,1,0,1,0,0,,1,0
3/20/2001,1,0,0,0,0,,1,0
4/11/2001,1,0,0,1,0,,0,0
4/18/2001,1,0,0,1,0,,1,0
5/15/2001,1,0,0,0,0,,1,0
6/27/2001,1,0,1,0,0,,1,0
8/21/2001,1,0,0,0,0,,1,0
9/13/2001,1,0,0,1,0,,0,0
9/17/2001,1,0,0,1,0,,1,0
10/2/2001,1,0,0,0,0,,1,0
11/6/2001,1,0,0,0,0,,1,0
12/11/2001,1,0,0,0,0,,1,0
1/30/2002,1,0,1,0,0,,1,0
3/19/2002,1,0,0,0,0,,1,0
5/7/2002,1,0,0,0,0,,1,0
6/26/2002,1,0,1,0,0,,1,0
8/13/2002,1,0,0,0,0,,1,0
9/24/2002,1,0,0,0,0,,1,0
11/6/2002,1,0,0,0,0,,1,0
12/10/2002,1,0,0,0,0,,1,0
1/29/2003,1,0,1,0,0,,1,0
3/18/2003,1,0,0,0,0,,1,0
3/25/2003,1,0,0,1,0,,0,0
4/1/2003,1,0,0,1,0,,0,0
4/8/2003,1,0,0,1,0,,0,0
4/16/2003,1,0,0,1,0,,0,0
5/6/2003,1,0,0,0,0,,1,0
6/25/2003,1,0,1,0,0,,1,0
8/12/2003,1,0,0,0,0,,1,0
9/16/2003,1,0,1,0,0,,1,0
10/28/2003,1,0,0,0,0,,1,0
12/9/2003,1,0,0,0,0,,1,0
8/10/2004,1,0,0,0,0,,1,0
12/14/2004,1,0,0,0,0,,1,0
1/28/2004,1,0,1,0,0,,1,0
6/30/2004,1,0,1,0,0,,1,0
3/16/2004,1,0,0,0,0,,1,0
5/4/2004,1,0,0,0,0,,1,0
11/10/2004,1,0,0,0,0,,1,0
9/21/2004,1,0,0,0,0,,1,0
2/2/2005,1,0,1,0,0,,1,0
3/22/2005,1,0,0,0,0,,1,0
5/3/2005,1,0,0,0,0,,1,0
6/30/2005,1,0,1,0,0,,1,0
8/9/2005,1,0,0,0,0,,1,0
9/20/2005,1,0,0,0,0,,1,0
11/1/2005,1,0,0,0,0,,1,0
12/13/2005,1,0,0,0,0,,1,0
1/31/2006,1,0,0,0,0,,1,0
3/28/2006,1,0,1,0,0,,1,0
5/10/2006,1,0,0,0,0,,1,0
6/29/2006,1,0,1,0,0,,1,0
8/8/2006,1,0,0,0,0,,1,0
9/20/2006,1,0,0,0,0,,1,0
10/25/2006,1,0,1,0,0,,1,0
12/12/2006,1,0,0,0,0,,1,0
1/31/2007,1,0,1,0,0,,1,0
3/21/2007,1,0,1,0,0,,1,0
5/9/2007,1,0,0,0,0,,1,0
6/28/2007,1,0,1,0,0,,1,0
8/7/2007,1,0,0,0,0,,1,0
8/10/2007,1,1,0,0,0,,1,0
8/16/2007,1,1,0,0,0,,1,0
9/18/2007,1,0,0,0,0,,1,0
10/31/2007,1,0,1,0,0,,1,0
12/6/2007,1,1,0,0,0,,0,0
12/11/2007,1,0,0,0,0,,1,0
1/9/2008,1,1,0,0,0,,0,0
1/22/2008,1,1,0,0,0,,1,0
1/30/2008,1,0,1,0,0,,1,0
3/10/2008,1,1,0,0,0,,1,0
