date,r2y_neut,r3y_neut,r4y_neut,r5y_neut,r6y_neut,r7y_neut,r8y_neut,r9y_neut,r10y_neut,r11y_neut
1/4/1999,1.074375387,1.109094186,1.040715089,0.947621873,0.852576673,0.763138797,0.681664185,0.608507789,0.543234126,0.485120385
1/5/1999,1.083254624,1.126303621,1.060234365,0.967269635,0.8715136,0.781051314,0.698465149,0.62421182,0.557900861,0.498827229
1/6/1999,1.261581784,1.2717327,1.184059218,1.074938654,0.96649158,0.865778935,0.774753481,0.693448966,0.621175069,0.557006442
1/7/1999,0.990437936,1.105093065,1.068012768,0.987620256,0.897265498,0.808780107,0.726457893,0.651603287,0.584268049,0.52398504
1/8/1999,1.060962391,1.169874981,1.126806806,1.040800803,0.945444232,0.852581556,0.76644935,0.68827908,0.618051812,0.555237537
1/11/1999,0.947859762,1.118611924,1.102605541,1.030066522,0.94194619,0.85313286,0.76930016,0.692422753,0.622891283,0.560412035
1/12/1999,1.06152146,1.16919668,1.125537689,1.039221622,0.94371154,0.850789679,0.764656132,0.686519658,0.616346817,0.553598227
1/13/1999,1.02224484,1.110948634,1.063415288,0.978515102,0.886259343,0.797123409,0.714777955,0.640216746,0.573328453,0.5135577
1/14/1999,1.017313728,1.065606957,1.004859356,0.916743972,0.825316701,0.738693738,0.659505531,0.588259225,0.524612152,0.467902657
1/15/1999,1.012552784,1.089913815,1.039055354,0.953769264,0.862281547,0.774362943,0.693376923,0.620176606,0.55458648,0.496024132
1/19/1999,1.032622758,1.128243921,1.082403197,0.997282452,0.904118171,0.813854399,0.730353907,0.654690399,0.586783321,0.526085669
1/20/1999,1.033357542,1.143589136,1.102509046,1.018526852,0.925054105,0.8338908,0.749272338,0.672443881,0.603404623,0.541643012
1/21/1999,1.010007992,1.106080529,1.061730624,0.978310634,0.886780855,0.798003879,0.715827349,0.641333047,0.574456025,0.514666339
1/22/1999,1.017262298,1.100062222,1.050867615,0.965794695,0.87394765,0.785445185,0.703802686,0.629943054,0.563722799,0.504573155
1/25/1999,1.036282599,1.112437563,1.059860717,0.972789314,0.879636942,0.790223036,0.707912903,0.633546019,0.566928963,0.507461378
1/26/1999,1.067931884,1.150348099,1.097924797,1.00900282,0.913415811,0.821501144,0.73681963,0.660278782,0.591699712,0.53047398
1/27/1999,1.100678158,1.159402261,1.097192707,1.00387497,0.906282774,0.813528337,0.728606022,0.652138523,0.58379564,0.522885697
1/28/1999,1.083045425,1.152994617,1.095489292,1.004380844,0.907880014,0.815661158,0.730980454,0.654593694,0.586242445,0.525275314
1/29/1999,1.072897988,1.136500971,1.077434101,0.986519683,0.890853555,0.799680142,0.71607698,0.640724013,0.573332531,0.513241961
2/1/1999,1.085429543,1.181555125,1.132524965,1.043369527,0.94622584,0.852312481,0.765555942,0.687019061,0.616585225,0.553665298
2/2/1999,1.109943101,1.209677021,1.160470879,1.069885347,0.970954479,0.875227039,0.786754849,0.706644367,0.634787944,0.570590575
2/3/1999,1.122512069,1.214545051,1.162213711,1.070205653,0.970589082,0.87452827,0.785901726,0.705731041,0.633864624,0.569683837
2/4/1999,1.107384054,1.224671439,1.181736324,1.093063206,0.994216285,0.89776868,0.808233751,0.726940268,0.653890862,0.588544828
2/5/1999,1.108788272,1.23596256,1.196284371,1.108407414,1.00935781,0.912290047,0.821974424,0.739860223,0.666007559,0.599902267
2/8/1999,1.1080899,1.228285268,1.186312754,1.097887306,0.998990502,0.902363762,0.812596738,0.73105512,0.657759857,0.59217918
2/9/1999,1.130817848,1.242582148,1.196440328,1.105587506,1.005130317,0.907432494,0.816894551,0.73477736,0.661039424,0.59510971
2/10/1999,1.090154739,1.227952594,1.192812721,1.107083596,1.009123547,0.912627156,0.822611654,0.740649342,0.666865398,0.600781566
2/11/1999,1.132182258,1.267451826,1.228983284,1.139941488,1.038959244,0.939787065,0.847427596,0.763417779,0.68784387,0.620191154
2/12/1999,1.212951731,1.361345216,1.322535816,1.228681578,1.121623356,1.01628445,0.918106409,0.828774983,0.748403817,0.676454628
2/16/1999,1.150613949,1.32108146,1.293401243,1.206131678,1.103375278,1.001035197,0.905047068,0.817372763,0.738291915,0.667371592
2/17/1999,1.185315007,1.307152372,1.26143854,1.167652298,1.06322546,0.961392661,0.866894392,0.78111784,0.704055854,0.635131363
2/18/1999,1.199052475,1.326961807,1.282481838,1.188209453,1.082692831,0.979593184,0.883825285,0.796847922,0.718680454,0.64875176
2/19/1999,1.185619203,1.333040836,1.295831816,1.204167977,1.099297782,0.995964804,0.899568327,0.811799871,0.732794742,0.662039944
2/22/1999,1.240678191,1.356400708,1.305278776,1.206769794,1.098300586,0.993026501,0.895594821,0.8073074,0.728084685,0.657289911
2/23/1999,1.262874275,1.389403383,1.340657262,1.241554048,1.13141013,1.024110013,0.924607241,0.834335366,0.753268162,0.680785362
2/24/1999,1.311386993,1.437539639,1.385900024,1.283322684,1.169764021,1.059311475,0.956970078,0.864169022,0.780857417,0.706384334
2/25/1999,1.30100763,1.459888581,1.419959044,1.321091196,1.20790635,1.096364743,0.992309116,0.897569241,0.812291583,0.735921806
2/26/1999,1.286819987,1.433885823,1.390774317,1.291945391,1.179998168,1.070108477,0.967791034,0.874734566,0.791027566,0.716096349
3/1/1999,1.300040422,1.475704885,1.441399249,1.344068631,1.230750659,1.118364912,1.013179725,0.917225885,0.830746904,0.753234286
3/2/1999,1.306091338,1.468953416,1.430011957,1.331147487,1.217588143,1.105529025,1.000915684,0.905625129,0.819825305,0.742970723
3/3/1999,1.390901896,1.472526954,1.402042306,1.290455515,1.172249215,1.05929848,0.955593846,0.862056898,0.778366809,0.703722623
3/4/1999,1.412175361,1.486942405,1.412995031,1.299323204,1.179717112,1.065757097,0.96128744,0.867148941,0.782972473,0.707926369
3/5/1999,1.377146188,1.444448174,1.369991052,1.25818129,1.141177251,1.029950382,0.928106732,0.836397858,0.75442949,0.681372987
3/8/1999,1.374872861,1.433484286,1.356267998,1.243885468,1.127176663,1.016593907,0.915517589,0.824595835,0.743386696,0.671040759
3/9/1999,1.293174257,1.339704183,1.263300918,1.15591248,1.045334088,0.940915591,0.845629825,0.759990959,0.683536938,0.615445514
3/10/1999,1.350910135,1.375765649,1.288946114,1.175598196,1.061223378,0.954204125,0.857039498,0.76998664,0.692433242,0.623464032
3/11/1999,1.306934118,1.349763782,1.271539994,1.162999084,1.05159372,0.946535636,0.850731314,0.764658993,0.687835188,0.619423788
3/12/1999,1.344662459,1.361418161,1.272221604,1.158593637,1.044755575,0.938586981,0.842369553,0.756262018,0.679607843,0.611473605
3/15/1999,1.29993678,1.323887265,1.239760295,1.130110263,1.01948811,0.915964005,0.821949722,0.737697945,0.662622146,0.595842153
3/16/1999,1.318094103,1.336739104,1.249713026,1.138197513,1.026269653,0.921782955,0.82703293,0.742203212,0.666663343,0.599503799
3/17/1999,1.405659615,1.38624522,1.281531696,1.160457377,1.042815761,0.93466748,0.837445555,0.75087626,0.67406891,0.605957785
3/18/1999,1.389052138,1.369550305,1.265731404,1.145811179,1.029331084,0.922267944,0.82603028,0.740342293,0.664319817,0.596906573
3/19/1999,1.423088996,1.40844234,1.304288556,1.182309373,1.063297147,0.95368494,0.855050638,0.767174563,0.689181414,0.620004074
