Mnemonic,EDE2C.D7,EDB3C.D7,EDE3C.D7,EDB4C.D7,EDE4C.D7,EDB5C.D7,EDE5C.D7,EDB6C.D7,EDE6C.D7,EDB1C.D7,EDE1C.D7
12/9/1981,86.18,85.95,85.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.40,86.40
12/10/1981,85.71,85.56,85.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.86,85.86
12/11/1981,85.64,85.50,85.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.80,85.80
12/12/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/13/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/14/1981,85.68,85.50,85.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.88,85.88
12/15/1981,85.83,85.66,85.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.05,86.05
12/16/1981,85.65,85.45,85.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.88,85.88
12/17/1981,85.11,85.06,85.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.33,85.33
12/18/1981,85.65,85.60,85.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.90,85.90
12/19/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/21/1981,85.10,85.06,85.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.31,85.31
12/22/1981,85.06,85.04,85.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.28,85.28
12/23/1981,84.69,84.67,84.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.85,84.85
12/24/1981,84.88,84.90,84.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.09,85.09
12/25/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/26/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/27/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/28/1981,84.68,84.66,84.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.83,84.83
12/29/1981,84.80,84.80,84.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.89,84.89
12/30/1981,85.00,85.00,85.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.15,85.15
12/31/1981,85.42,85.37,85.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.58,85.58
1/1/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/3/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/4/1982,85.27,85.26,85.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.46,85.46
1/5/1982,84.90,84.90,84.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.05,85.05
1/6/1982,84.74,84.74,84.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.91,84.91
1/7/1982,84.84,84.84,84.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.02,85.02
1/8/1982,84.95,84.96,84.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.15,85.15
1/9/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/10/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/11/1982,84.29,84.30,84.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.47,84.47
1/12/1982,84.52,84.56,84.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.67,84.67
1/13/1982,84.11,84.15,84.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.26,84.26
1/14/1982,84.34,84.34,84.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.49,84.49
1/15/1982,84.19,84.19,84.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.32,84.32
1/16/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/17/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/18/1982,84.29,84.27,84.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.41,84.41
1/19/1982,84.13,84.13,84.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.26,84.26
1/20/1982,84.05,84.04,84.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.18,84.18
1/21/1982,83.99,84.01,84.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.13,84.13
1/22/1982,83.81,83.82,83.82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.93,83.93
1/23/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/24/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/25/1982,83.79,83.79,83.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.84,83.84
1/26/1982,84.07,84.07,84.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.21,84.21
1/27/1982,84.15,84.15,84.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.30,84.30
1/28/1982,84.61,84.56,84.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.81,84.81
1/29/1982,84.55,84.51,84.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.74,84.74
1/30/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/31/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/1982,83.69,83.69,83.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.74,83.74
2/2/1982,83.85,83.85,83.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.88,83.88
2/3/1982,83.89,83.91,83.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.73,83.73
2/4/1982,83.93,83.91,83.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.85,83.85
2/5/1982,84.02,84.02,84.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.90,83.90
2/6/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/7/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/8/1982,83.73,83.73,83.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.58,83.58
2/9/1982,83.64,83.80,83.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.39,83.39
2/10/1982,83.72,83.88,83.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.51,83.51
2/11/1982,83.70,83.97,83.97,84.35,84.35,#N/A,#N/A,#N/A,#N/A,83.43,83.43
2/12/1982,83.64,83.98,83.98,84.35,84.35,#N/A,#N/A,#N/A,#N/A,83.36,83.36
2/13/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/14/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/15/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/16/1982,83.66,84.10,84.10,84.45,84.45,#N/A,#N/A,#N/A,#N/A,83.29,83.29
2/17/1982,83.75,84.10,84.10,84.45,84.45,#N/A,#N/A,#N/A,#N/A,83.43,83.43
2/18/1982,84.26,84.50,84.50,84.70,84.70,#N/A,#N/A,#N/A,#N/A,84.04,84.04
2/19/1982,84.25,84.48,84.48,84.75,84.75,#N/A,#N/A,#N/A,#N/A,84.00,84.00
2/20/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/21/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/22/1982,85.08,85.23,85.23,85.55,85.55,#N/A,#N/A,#N/A,#N/A,84.99,84.99
2/23/1982,85.06,85.10,85.10,85.40,85.40,#N/A,#N/A,#N/A,#N/A,85.13,85.13
2/24/1982,85.18,85.15,85.15,85.35,85.35,#N/A,#N/A,#N/A,#N/A,85.39,85.39
2/25/1982,85.06,85.19,85.19,85.27,85.27,#N/A,#N/A,#N/A,#N/A,85.20,85.20
2/26/1982,84.67,84.80,84.80,85.10,85.10,#N/A,#N/A,#N/A,#N/A,84.87,84.87
2/27/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/28/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/1/1982,85.15,85.30,85.18,#N/A,85.30,#N/A,#N/A,#N/A,#N/A,85.15,85.33
3/2/1982,85.22,85.40,85.25,#N/A,85.40,#N/A,#N/A,#N/A,#N/A,85.22,85.30
3/3/1982,85.42,85.50,85.45,#N/A,85.50,#N/A,#N/A,#N/A,#N/A,85.42,85.39
3/4/1982,85.62,85.60,85.60,#N/A,85.60,#N/A,#N/A,#N/A,#N/A,85.62,85.49
3/5/1982,85.61,85.70,85.57,#N/A,85.70,#N/A,#N/A,#N/A,#N/A,85.61,85.53
3/6/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/7/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/8/1982,85.72,85.80,85.70,#N/A,85.80,#N/A,#N/A,#N/A,#N/A,85.72,85.63
3/9/1982,85.44,85.63,85.44,#N/A,85.63,#N/A,#N/A,#N/A,#N/A,85.44,85.40
3/10/1982,85.30,85.55,85.41,#N/A,85.55,#N/A,#N/A,#N/A,#N/A,85.30,85.28
3/11/1982,85.01,85.25,85.15,#N/A,85.25,#N/A,#N/A,#N/A,#N/A,85.01,84.99
3/12/1982,84.78,85.00,84.95,#N/A,85.00,#N/A,#N/A,#N/A,#N/A,84.78,84.88
3/13/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/14/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/15/1982,84.74,85.03,84.87,#N/A,85.03,#N/A,#N/A,#N/A,#N/A,84.74,84.88
3/16/1982,84.79,85.03,85.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.68,84.68
3/17/1982,84.88,85.16,85.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.78,84.78
3/18/1982,84.74,85.04,85.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.63,84.63
3/19/1982,84.59,84.89,84.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.38,84.38
3/20/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/21/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/22/1982,84.97,85.19,85.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.79,84.79
3/23/1982,85.13,85.33,85.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.98,84.98
3/24/1982,84.90,85.10,85.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.75,84.75
3/25/1982,84.90,84.97,84.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.65,84.65
3/26/1982,84.60,84.80,84.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.47,84.47
3/27/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/28/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/29/1982,84.37,84.55,84.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.20,84.20
3/30/1982,84.30,84.50,84.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.16,84.16
3/31/1982,84.58,84.75,84.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.46,84.46
4/1/1982,84.70,84.86,84.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.54,84.54
4/2/1982,84.49,84.65,84.65,84.80,84.80,#N/A,#N/A,#N/A,#N/A,84.36,84.36
4/3/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/4/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/5/1982,84.55,84.62,84.62,84.80,84.80,#N/A,#N/A,#N/A,#N/A,84.39,84.39
4/6/1982,84.48,84.57,84.57,84.68,84.68,#N/A,#N/A,#N/A,#N/A,84.35,84.35
4/7/1982,84.36,84.45,84.45,84.60,84.60,#N/A,#N/A,#N/A,#N/A,84.24,84.24
4/8/1982,84.53,84.65,84.65,84.78,84.78,#N/A,#N/A,#N/A,#N/A,84.41,84.41
4/9/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/10/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/11/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/12/1982,84.98,85.01,85.01,84.78,84.78,#N/A,#N/A,#N/A,#N/A,84.89,84.89
4/13/1982,84.86,84.94,84.94,84.78,84.78,#N/A,#N/A,#N/A,#N/A,84.75,84.75
4/14/1982,84.81,84.91,84.91,84.90,84.90,#N/A,#N/A,#N/A,#N/A,84.68,84.68
4/15/1982,84.80,84.90,84.90,84.90,84.90,#N/A,#N/A,#N/A,#N/A,84.68,84.68
4/16/1982,85.00,85.04,85.04,85.00,85.00,#N/A,#N/A,#N/A,#N/A,84.97,84.97
4/17/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/18/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/19/1982,85.19,85.19,85.19,85.18,85.18,#N/A,#N/A,#N/A,#N/A,85.15,85.15
4/20/1982,85.20,85.20,85.20,85.23,85.23,#N/A,#N/A,#N/A,#N/A,85.16,85.16
4/21/1982,85.30,85.22,85.22,85.22,85.22,#N/A,#N/A,#N/A,#N/A,85.24,85.24
4/22/1982,85.29,85.30,85.30,85.25,85.25,#N/A,#N/A,#N/A,#N/A,85.22,85.22
4/23/1982,85.57,85.60,85.60,85.57,85.57,#N/A,#N/A,#N/A,#N/A,85.41,85.41
4/24/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/25/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/26/1982,85.59,85.60,85.60,85.60,85.60,#N/A,#N/A,#N/A,#N/A,85.41,85.41
4/27/1982,85.51,85.54,85.54,85.49,85.49,#N/A,#N/A,#N/A,#N/A,85.30,85.30
4/28/1982,85.41,85.43,85.43,85.45,85.45,#N/A,#N/A,#N/A,#N/A,85.17,85.17
4/29/1982,85.40,85.42,85.42,85.42,85.42,#N/A,#N/A,#N/A,#N/A,85.25,85.25
4/30/1982,85.53,85.54,85.54,85.53,85.53,#N/A,#N/A,#N/A,#N/A,85.42,85.42
5/1/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/2/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/3/1982,85.25,85.27,85.27,85.28,85.28,#N/A,#N/A,#N/A,#N/A,85.08,85.08
5/4/1982,85.33,85.36,85.36,85.37,85.37,#N/A,#N/A,#N/A,#N/A,85.14,85.14
5/5/1982,85.52,85.52,85.52,85.51,85.51,#N/A,#N/A,#N/A,#N/A,85.31,85.31
5/6/1982,85.87,85.84,85.84,85.80,85.80,#N/A,#N/A,#N/A,#N/A,85.75,85.75
5/7/1982,86.12,85.99,85.99,85.99,85.99,#N/A,#N/A,#N/A,#N/A,85.95,85.95
5/8/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/9/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/10/1982,86.00,85.89,85.89,85.88,85.88,#N/A,#N/A,#N/A,#N/A,85.95,85.95
5/11/1982,86.03,85.96,85.96,85.90,85.90,#N/A,#N/A,#N/A,#N/A,85.95,85.95
5/12/1982,85.81,85.77,85.77,85.72,85.72,#N/A,#N/A,#N/A,#N/A,85.79,85.79
5/13/1982,85.66,85.63,85.63,85.60,85.60,#N/A,#N/A,#N/A,#N/A,85.64,85.64
5/14/1982,85.91,85.82,85.82,85.75,85.75,#N/A,#N/A,#N/A,#N/A,85.82,85.82
5/15/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/16/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/17/1982,85.71,85.63,85.63,85.62,85.62,#N/A,#N/A,#N/A,#N/A,85.66,85.66
5/18/1982,85.75,85.70,85.70,85.65,85.65,#N/A,#N/A,#N/A,#N/A,85.69,85.69
5/19/1982,85.66,85.62,85.62,85.60,85.60,#N/A,#N/A,#N/A,#N/A,85.63,85.63
5/20/1982,86.17,86.06,86.06,86.00,86.00,#N/A,#N/A,#N/A,#N/A,86.21,86.21
5/21/1982,86.03,85.92,85.92,85.87,85.87,#N/A,#N/A,#N/A,#N/A,86.07,86.07
5/22/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/23/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/24/1982,86.03,85.96,85.96,85.84,85.84,#N/A,#N/A,#N/A,#N/A,86.02,86.02
5/25/1982,85.90,85.81,85.81,85.70,85.70,#N/A,#N/A,#N/A,#N/A,85.82,85.82
5/26/1982,85.79,85.68,85.68,85.74,85.74,#N/A,#N/A,#N/A,#N/A,85.89,85.89
5/27/1982,85.78,85.68,85.68,85.59,85.59,#N/A,#N/A,#N/A,#N/A,85.83,85.83
5/28/1982,85.83,85.73,85.73,85.67,85.67,#N/A,#N/A,#N/A,#N/A,85.83,85.83
5/29/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/30/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/31/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1982,85.19,85.08,85.08,#N/A,85.08,#N/A,#N/A,#N/A,#N/A,85.19,85.36
6/2/1982,85.32,85.16,85.15,#N/A,85.16,#N/A,#N/A,#N/A,#N/A,85.32,85.48
6/3/1982,85.25,85.05,85.08,#N/A,85.05,#N/A,#N/A,#N/A,#N/A,85.25,85.41
6/4/1982,84.95,84.90,84.87,#N/A,84.90,#N/A,#N/A,#N/A,#N/A,84.95,85.21
6/5/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/6/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/7/1982,85.16,85.09,85.09,#N/A,85.09,#N/A,#N/A,#N/A,#N/A,85.16,85.36
6/8/1982,84.94,84.84,84.86,#N/A,84.84,#N/A,#N/A,#N/A,#N/A,84.94,85.13
6/9/1982,85.13,84.99,85.04,#N/A,84.99,#N/A,#N/A,#N/A,#N/A,85.13,85.23
6/10/1982,84.98,84.89,84.90,#N/A,84.89,#N/A,#N/A,#N/A,#N/A,84.98,85.14
6/11/1982,85.13,85.03,85.05,#N/A,85.03,#N/A,#N/A,#N/A,#N/A,85.13,85.19
6/12/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/13/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/14/1982,84.57,84.51,84.52,#N/A,84.51,#N/A,#N/A,#N/A,#N/A,84.57,84.67
6/15/1982,84.54,84.54,84.54,84.50,84.50,#N/A,#N/A,#N/A,#N/A,84.56,84.56
6/16/1982,84.51,84.53,84.53,84.50,84.50,#N/A,#N/A,#N/A,#N/A,84.51,84.51
6/17/1982,84.17,84.20,84.20,84.24,84.24,#N/A,#N/A,#N/A,#N/A,84.14,84.14
6/18/1982,84.10,84.17,84.17,84.22,84.22,#N/A,#N/A,#N/A,#N/A,83.99,83.99
6/19/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/20/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/21/1982,84.13,84.20,84.20,84.22,84.22,#N/A,#N/A,#N/A,#N/A,84.03,84.03
6/22/1982,84.01,84.11,84.11,84.13,84.13,#N/A,#N/A,#N/A,#N/A,83.88,83.88
6/23/1982,84.10,84.16,84.16,84.19,84.19,#N/A,#N/A,#N/A,#N/A,83.94,83.94
6/24/1982,83.86,84.00,84.00,84.06,84.06,#N/A,#N/A,#N/A,#N/A,83.68,83.68
6/25/1982,83.72,83.91,83.91,83.97,83.97,#N/A,#N/A,#N/A,#N/A,83.50,83.50
6/26/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/27/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/28/1982,83.93,84.08,84.08,84.14,84.14,#N/A,#N/A,#N/A,#N/A,83.68,83.68
6/29/1982,84.23,84.30,84.30,84.36,84.36,#N/A,#N/A,#N/A,#N/A,84.09,84.09
6/30/1982,84.34,84.44,84.44,84.49,84.49,#N/A,#N/A,#N/A,#N/A,84.22,84.22
7/1/1982,84.55,84.61,84.61,84.63,84.63,#N/A,#N/A,#N/A,#N/A,84.39,84.39
7/2/1982,84.38,84.50,84.50,84.55,84.55,#N/A,#N/A,#N/A,#N/A,84.22,84.22
7/3/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/4/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/5/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/6/1982,84.44,84.53,84.53,84.59,84.59,#N/A,#N/A,#N/A,#N/A,84.30,84.30
7/7/1982,84.57,84.65,84.65,84.68,84.68,#N/A,#N/A,#N/A,#N/A,84.39,84.39
7/8/1982,85.03,85.08,85.08,85.10,85.10,#N/A,#N/A,#N/A,#N/A,84.91,84.91
7/9/1982,85.10,85.17,85.17,85.23,85.23,#N/A,#N/A,#N/A,#N/A,85.04,85.04
7/10/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/11/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/12/1982,85.24,85.29,85.29,85.36,85.36,#N/A,#N/A,#N/A,#N/A,85.21,85.21
7/13/1982,85.00,85.05,85.05,85.13,85.13,#N/A,#N/A,#N/A,#N/A,84.93,84.93
7/14/1982,84.90,84.95,84.95,85.03,85.03,#N/A,#N/A,#N/A,#N/A,84.87,84.87
7/15/1982,85.08,85.14,85.14,85.16,85.16,#N/A,#N/A,#N/A,#N/A,85.05,85.05
7/16/1982,85.46,85.52,85.52,85.57,85.57,#N/A,#N/A,#N/A,#N/A,85.60,85.60
7/17/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/18/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/19/1982,85.48,85.49,85.49,85.50,85.50,#N/A,#N/A,#N/A,#N/A,85.56,85.56
7/20/1982,85.73,85.71,85.71,85.73,85.73,#N/A,#N/A,#N/A,#N/A,85.86,85.86
7/21/1982,85.50,85.52,85.52,85.71,85.71,#N/A,#N/A,#N/A,#N/A,85.65,85.65
7/22/1982,85.73,85.67,85.67,85.70,85.70,#N/A,#N/A,#N/A,#N/A,86.04,86.04
7/23/1982,85.86,85.81,85.81,85.81,85.81,#N/A,#N/A,#N/A,#N/A,86.17,86.17
7/24/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/25/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/26/1982,85.58,85.55,85.55,85.58,85.58,#N/A,#N/A,#N/A,#N/A,85.89,85.89
7/27/1982,85.54,85.51,85.51,85.53,85.53,#N/A,#N/A,#N/A,#N/A,85.77,85.77
7/28/1982,85.30,85.25,85.25,85.25,85.25,#N/A,#N/A,#N/A,#N/A,85.61,85.61
7/29/1982,85.44,85.38,85.38,85.38,85.38,#N/A,#N/A,#N/A,#N/A,85.82,85.82
7/30/1982,85.73,85.63,85.63,85.56,85.56,#N/A,#N/A,#N/A,#N/A,86.11,86.11
7/31/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/1/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/2/1982,86.18,86.00,86.00,85.91,85.91,#N/A,#N/A,#N/A,#N/A,86.83,86.83
8/3/1982,85.81,85.74,85.74,85.70,85.70,#N/A,#N/A,#N/A,#N/A,86.49,86.49
8/4/1982,85.99,85.84,85.84,85.76,85.76,#N/A,#N/A,#N/A,#N/A,86.67,86.67
8/5/1982,85.97,85.85,85.85,85.80,85.80,#N/A,#N/A,#N/A,#N/A,86.60,86.60
