Mnemonic,FFB2C.D7,FFE2C.D7,FFB3C.D7,FFE3C.D7,FFB4C.D7,FFE4C.D7,FFB5C.D7,FFE5C.D7,FFB6C.D7,FFE6C.D7,FFB7C.D7,FFE7C.D7,FFB1C.D7,FFE1C.D7
3/27/1989,89.50,89.75,89.39,89.50,89.23,89.39,89.23,89.23,89.23,89.23,#N/A,89.23,89.75,90.13
3/28/1989,89.52,89.78,89.42,89.52,89.25,89.42,89.25,89.25,89.25,89.25,#N/A,89.25,89.78,90.12
3/29/1989,89.63,89.85,89.51,89.63,89.34,89.51,89.33,89.34,89.33,89.33,#N/A,89.33,89.85,90.13
3/30/1989,89.63,89.88,89.53,89.63,89.37,89.53,89.36,89.37,89.34,89.36,#N/A,89.34,89.88,90.12
3/31/1989,89.69,89.90,89.63,89.69,89.46,89.63,89.43,89.46,89.41,89.43,#N/A,89.41,89.90,90.14
4/1/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/2/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/3/1989,89.78,89.85,89.72,89.78,89.75,89.72,89.75,89.75,#N/A,89.75,#N/A,#N/A,89.85,90.01
4/4/1989,89.90,89.92,89.80,89.90,89.79,89.80,89.79,89.79,#N/A,89.79,#N/A,#N/A,89.92,90.03
4/5/1989,89.88,89.94,89.80,89.88,89.80,89.80,89.82,89.80,#N/A,89.82,#N/A,#N/A,89.94,90.05
4/6/1989,89.84,89.90,89.74,89.84,89.71,89.74,89.70,89.71,#N/A,89.70,#N/A,#N/A,89.90,90.08
4/7/1989,89.87,89.95,89.74,89.87,89.70,89.74,89.70,89.70,#N/A,89.70,#N/A,#N/A,89.95,90.12
4/8/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/9/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/10/1989,89.84,89.92,89.71,89.84,89.70,89.71,89.70,89.70,#N/A,89.70,#N/A,#N/A,89.92,90.12
4/11/1989,89.84,89.92,89.72,89.84,89.68,89.72,89.66,89.68,#N/A,89.66,#N/A,#N/A,89.92,90.13
4/12/1989,89.85,89.94,89.71,89.85,89.67,89.71,89.66,89.67,#N/A,89.66,#N/A,#N/A,89.94,90.15
4/13/1989,89.78,89.92,89.65,89.78,89.61,89.65,89.60,89.61,#N/A,89.60,#N/A,#N/A,89.92,90.13
4/14/1989,90.05,90.07,90.01,90.05,90.01,90.01,90.01,90.01,#N/A,90.01,#N/A,#N/A,90.07,90.16
4/15/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/16/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/17/1989,89.99,90.03,89.95,89.99,89.95,89.95,89.95,89.95,#N/A,89.95,#N/A,#N/A,90.03,90.16
4/18/1989,90.18,90.15,90.18,90.18,90.18,90.18,90.20,90.18,#N/A,90.20,#N/A,#N/A,90.15,90.18
4/19/1989,90.17,90.15,90.18,90.17,90.20,90.18,90.20,90.20,#N/A,90.20,#N/A,#N/A,90.15,90.17
4/20/1989,90.01,90.06,89.97,90.01,89.96,89.97,90.00,89.96,#N/A,90.00,#N/A,#N/A,90.06,90.15
4/21/1989,90.03,90.09,89.98,90.03,90.01,89.98,90.03,90.01,#N/A,90.03,#N/A,#N/A,90.09,90.15
4/22/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/23/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/24/1989,90.02,90.06,89.99,90.02,89.99,89.99,89.99,89.99,#N/A,89.99,#N/A,#N/A,90.06,90.15
4/25/1989,90.05,90.09,90.05,90.05,90.05,90.05,90.05,90.05,#N/A,90.05,#N/A,#N/A,90.09,90.15
4/26/1989,90.16,90.11,90.15,90.16,90.15,90.15,90.14,90.15,#N/A,90.14,#N/A,#N/A,90.11,90.15
4/27/1989,90.24,90.14,90.28,90.24,90.29,90.28,90.34,90.29,#N/A,90.34,#N/A,#N/A,90.14,90.16
4/28/1989,90.25,90.14,90.25,90.25,90.33,90.25,90.32,90.33,#N/A,90.32,#N/A,#N/A,90.14,90.16
4/29/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/30/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/1989,90.10,90.12,90.10,90.10,90.10,90.10,90.10,90.10,#N/A,90.10,#N/A,#N/A,90.12,90.10
5/2/1989,90.15,90.15,90.16,90.15,90.19,90.16,90.13,90.19,#N/A,90.13,#N/A,#N/A,90.15,90.13
5/3/1989,90.19,90.19,90.20,90.19,90.25,90.20,90.18,90.25,#N/A,90.18,90.20,#N/A,90.19,90.13
5/4/1989,90.17,90.17,90.18,90.17,90.23,90.18,90.19,90.23,#N/A,90.19,90.20,#N/A,90.17,90.11
5/5/1989,90.35,90.22,90.38,90.35,90.43,90.38,90.43,90.43,#N/A,90.43,90.40,#N/A,90.22,90.13
5/6/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/7/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/8/1989,90.28,90.21,90.32,90.28,90.39,90.32,90.39,90.39,#N/A,90.39,90.37,#N/A,90.21,90.12
5/9/1989,90.17,90.11,90.22,90.17,90.25,90.22,90.25,90.25,#N/A,90.25,90.23,#N/A,90.11,90.11
5/10/1989,90.18,90.16,90.19,90.18,90.20,90.19,90.22,90.20,#N/A,90.22,90.19,#N/A,90.16,90.12
5/11/1989,90.25,90.18,90.28,90.25,90.34,90.28,90.34,90.34,#N/A,90.34,90.30,#N/A,90.18,90.13
5/12/1989,90.50,90.33,90.64,90.50,90.75,90.64,90.75,90.75,#N/A,90.75,90.75,#N/A,90.33,90.17
5/13/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/14/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/15/1989,90.50,90.30,90.60,90.50,90.72,90.60,90.72,90.72,#N/A,90.72,90.72,#N/A,90.30,90.19
5/16/1989,90.43,90.27,90.54,90.43,90.66,90.54,90.66,90.66,#N/A,90.66,90.66,#N/A,90.27,90.18
5/17/1989,90.40,90.28,90.55,90.40,90.70,90.55,90.70,90.70,#N/A,90.70,90.70,#N/A,90.28,90.19
5/18/1989,90.43,90.28,90.54,90.43,90.68,90.54,90.68,90.68,#N/A,90.68,90.68,#N/A,90.28,90.17
5/19/1989,90.46,90.31,90.57,90.46,90.73,90.57,90.73,90.73,#N/A,90.73,90.73,#N/A,90.31,90.18
5/20/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/21/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/22/1989,90.58,90.38,90.69,90.58,90.88,90.69,90.90,90.88,#N/A,90.90,90.88,#N/A,90.38,90.21
5/23/1989,90.60,90.40,90.72,90.60,90.90,90.72,90.90,90.90,#N/A,90.90,90.90,#N/A,90.40,90.21
5/24/1989,90.57,90.36,90.67,90.57,90.86,90.67,90.85,90.86,#N/A,90.85,90.88,#N/A,90.36,90.19
5/25/1989,90.46,90.28,90.56,90.46,90.74,90.56,90.75,90.74,#N/A,90.75,90.77,#N/A,90.28,90.20
5/26/1989,90.49,90.30,90.60,90.49,90.79,90.60,90.80,90.79,#N/A,90.80,90.80,#N/A,90.30,90.21
5/27/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/28/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/29/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/30/1989,90.57,90.34,90.68,90.57,90.85,90.68,90.85,90.85,#N/A,90.85,90.85,#N/A,90.34,90.21
5/31/1989,90.55,90.32,90.68,90.55,90.83,90.68,90.83,90.83,90.83,90.83,90.83,90.83,90.32,90.20
6/1/1989,90.65,90.55,90.80,90.65,90.80,90.80,90.80,90.80,90.80,90.80,#N/A,90.80,90.55,90.32
6/2/1989,90.85,90.73,91.15,90.85,91.15,91.15,91.15,91.15,91.15,91.15,#N/A,91.15,90.73,90.41
6/3/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/4/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/5/1989,90.85,90.70,91.12,90.85,91.13,91.12,91.13,91.13,91.13,91.13,#N/A,91.13,90.70,90.44
6/6/1989,90.86,90.69,91.14,90.86,91.15,91.14,91.16,91.15,91.17,91.16,#N/A,91.17,90.69,90.45
6/7/1989,90.90,90.75,91.18,90.90,91.22,91.18,91.25,91.22,91.25,91.25,#N/A,91.25,90.75,90.46
6/8/1989,90.92,90.75,91.23,90.92,91.28,91.23,91.28,91.28,91.28,91.28,#N/A,91.28,90.75,90.46
6/9/1989,90.99,90.79,91.30,90.99,91.35,91.30,91.37,91.35,91.37,91.37,#N/A,91.37,90.79,90.47
6/10/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/11/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/12/1989,90.97,90.75,91.25,90.97,91.37,91.25,91.39,91.37,91.39,91.39,#N/A,91.39,90.75,90.48
6/13/1989,90.90,90.71,91.12,90.90,91.20,91.12,91.22,91.20,91.24,91.22,#N/A,91.24,90.71,90.48
6/14/1989,90.91,90.71,91.15,90.91,91.27,91.15,91.30,91.27,91.33,91.30,#N/A,91.33,90.71,90.47
6/15/1989,90.84,90.67,91.01,90.84,91.11,91.01,91.14,91.11,91.16,91.14,#N/A,91.16,90.67,90.47
6/16/1989,90.74,90.63,90.91,90.74,91.02,90.91,91.02,91.02,91.02,91.02,#N/A,91.02,90.63,90.46
6/17/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/18/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/19/1989,90.69,90.60,90.88,90.69,91.00,90.88,91.02,91.00,91.02,91.02,#N/A,91.02,90.60,90.47
6/20/1989,90.74,90.59,90.96,90.74,91.06,90.96,91.08,91.06,91.08,91.08,#N/A,91.08,90.59,90.48
6/21/1989,90.72,90.57,90.90,90.72,91.02,90.90,91.04,91.02,91.08,91.04,#N/A,91.08,90.57,90.49
6/22/1989,90.68,90.53,90.86,90.68,90.97,90.86,91.03,90.97,91.05,91.03,#N/A,91.05,90.53,90.47
6/23/1989,90.90,90.65,91.10,90.90,91.22,91.10,91.29,91.22,91.30,91.29,#N/A,91.30,90.65,90.47
6/24/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/25/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/26/1989,90.89,90.66,91.14,90.89,91.26,91.14,91.31,91.26,91.33,91.31,#N/A,91.33,90.66,90.47
6/27/1989,90.91,90.66,91.19,90.91,91.32,91.19,91.34,91.32,91.34,91.34,#N/A,91.34,90.66,90.47
6/28/1989,90.93,90.65,91.22,90.93,91.37,91.22,91.39,91.37,91.40,91.39,#N/A,91.40,90.65,90.46
6/29/1989,91.00,90.68,91.29,91.00,91.46,91.29,91.51,91.46,91.55,91.51,#N/A,91.55,90.68,90.47
6/30/1989,91.02,90.71,91.30,91.02,91.53,91.30,91.58,91.53,91.63,91.58,#N/A,91.63,90.71,90.46
7/1/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/2/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/3/1989,91.33,91.02,91.55,91.33,91.60,91.55,91.65,91.60,#N/A,91.65,#N/A,#N/A,91.02,90.72
7/4/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/5/1989,91.39,91.10,91.60,91.39,91.64,91.60,91.69,91.64,#N/A,91.69,#N/A,#N/A,91.10,90.74
7/6/1989,91.39,91.07,91.56,91.39,91.62,91.56,91.67,91.62,#N/A,91.67,#N/A,#N/A,91.07,90.72
7/7/1989,91.41,91.12,91.62,91.41,91.66,91.62,91.69,91.66,#N/A,91.69,#N/A,#N/A,91.12,90.74
7/8/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/9/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/10/1989,91.40,91.11,91.60,91.40,91.64,91.60,91.68,91.64,#N/A,91.68,#N/A,#N/A,91.11,90.75
7/11/1989,91.39,91.11,91.62,91.39,91.64,91.62,91.66,91.64,#N/A,91.66,#N/A,#N/A,91.11,90.73
7/12/1989,91.44,91.13,91.62,91.44,91.68,91.62,91.70,91.68,#N/A,91.70,#N/A,#N/A,91.13,90.74
7/13/1989,91.44,91.11,91.62,91.44,91.70,91.62,91.70,91.70,#N/A,91.70,#N/A,#N/A,91.11,90.73
7/14/1989,91.40,91.10,91.58,91.40,91.65,91.58,91.70,91.65,#N/A,91.70,#N/A,#N/A,91.10,90.73
7/15/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/16/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/17/1989,91.36,91.08,91.58,91.36,91.68,91.58,91.70,91.68,#N/A,91.70,#N/A,#N/A,91.08,90.73
7/18/1989,91.28,91.03,91.49,91.28,91.58,91.49,91.60,91.58,#N/A,91.60,#N/A,#N/A,91.03,90.72
7/19/1989,91.36,91.08,91.57,91.36,91.66,91.57,91.68,91.66,#N/A,91.68,#N/A,#N/A,91.08,90.73
7/20/1989,91.38,91.07,91.65,91.38,91.75,91.65,91.77,91.75,#N/A,91.77,#N/A,#N/A,91.07,90.73
7/21/1989,91.30,91.03,91.55,91.30,91.65,91.55,91.67,91.65,#N/A,91.67,#N/A,#N/A,91.03,90.73
7/22/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/23/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/24/1989,91.30,91.03,91.55,91.30,91.65,91.55,91.67,91.65,#N/A,91.67,#N/A,#N/A,91.03,90.72
7/25/1989,91.34,91.07,91.58,91.34,91.68,91.58,91.71,91.68,#N/A,91.71,#N/A,#N/A,91.07,90.73
7/26/1989,91.37,91.08,91.62,91.37,91.75,91.62,91.78,91.75,#N/A,91.78,#N/A,#N/A,91.08,90.74
7/27/1989,91.46,91.14,91.70,91.46,91.81,91.70,91.83,91.81,#N/A,91.83,#N/A,#N/A,91.14,90.74
7/28/1989,91.50,91.19,91.74,91.50,91.85,91.74,91.87,91.85,#N/A,91.87,#N/A,#N/A,91.19,90.75
7/29/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/30/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/31/1989,91.57,91.25,91.80,91.57,91.91,91.80,91.94,91.91,#N/A,91.94,#N/A,#N/A,91.25,90.77
8/1/1989,91.91,91.65,91.99,91.91,92.02,91.99,#N/A,92.02,#N/A,#N/A,#N/A,#N/A,91.65,91.28
8/2/1989,91.89,91.63,91.98,91.89,92.00,91.98,#N/A,92.00,#N/A,#N/A,#N/A,#N/A,91.63,91.24
8/3/1989,91.85,91.59,91.96,91.85,91.99,91.96,#N/A,91.99,#N/A,#N/A,#N/A,#N/A,91.59,91.20
8/4/1989,91.55,91.30,91.65,91.55,91.78,91.65,#N/A,91.78,#N/A,#N/A,#N/A,#N/A,91.30,91.08
8/5/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/6/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/7/1989,91.48,91.28,91.59,91.48,91.67,91.59,#N/A,91.67,#N/A,#N/A,#N/A,#N/A,91.28,91.07
8/8/1989,91.47,91.33,91.60,91.47,91.68,91.60,#N/A,91.68,#N/A,#N/A,#N/A,#N/A,91.33,91.10
8/9/1989,91.45,91.29,91.57,91.45,91.65,91.57,#N/A,91.65,#N/A,#N/A,#N/A,#N/A,91.29,91.07
8/10/1989,91.44,91.27,91.57,91.44,91.66,91.57,#N/A,91.66,#N/A,#N/A,#N/A,#N/A,91.27,91.05
8/11/1989,91.37,91.20,91.52,91.37,91.60,91.52,#N/A,91.60,#N/A,#N/A,#N/A,#N/A,91.20,91.03
8/12/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/13/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/14/1989,91.27,91.12,91.40,91.27,91.45,91.40,#N/A,91.45,#N/A,#N/A,#N/A,#N/A,91.12,90.98
8/15/1989,91.22,91.08,91.40,91.22,91.45,91.40,#N/A,91.45,#N/A,#N/A,#N/A,#N/A,91.08,90.96
8/16/1989,91.28,91.10,91.41,91.28,91.53,91.41,#N/A,91.53,#N/A,#N/A,#N/A,#N/A,91.10,90.99
8/17/1989,91.23,91.09,91.38,91.23,91.43,91.38,#N/A,91.43,#N/A,#N/A,#N/A,#N/A,91.09,90.98
8/18/1989,91.22,91.10,91.35,91.22,91.45,91.35,#N/A,91.45,#N/A,#N/A,#N/A,#N/A,91.10,91.01
8/19/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/20/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/21/1989,91.23,91.09,91.33,91.23,91.43,91.33,#N/A,91.43,#N/A,#N/A,#N/A,#N/A,91.09,91.01
8/22/1989,91.21,91.06,91.29,91.21,91.36,91.29,#N/A,91.36,#N/A,#N/A,#N/A,#N/A,91.06,91.00
8/23/1989,91.23,91.10,91.35,91.23,91.42,91.35,#N/A,91.42,#N/A,#N/A,#N/A,#N/A,91.10,91.00
8/24/1989,91.23,91.08,91.36,91.23,91.42,91.36,91.52,91.42,#N/A,91.52,#N/A,#N/A,91.08,91.00
8/25/1989,91.23,91.08,91.37,91.23,91.43,91.37,91.52,91.43,#N/A,91.52,#N/A,#N/A,91.08,91.00
8/26/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/27/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/28/1989,91.22,91.09,91.35,91.22,91.41,91.35,91.50,91.41,#N/A,91.50,#N/A,#N/A,91.09,91.01
8/29/1989,91.18,91.08,91.32,91.18,91.36,91.32,91.43,91.36,#N/A,91.43,#N/A,#N/A,91.08,91.00
8/30/1989,91.19,91.06,91.31,91.19,91.36,91.31,91.47,91.36,#N/A,91.47,#N/A,#N/A,91.06,91.01
8/31/1989,91.18,91.07,91.31,91.18,91.36,91.31,91.50,91.36,#N/A,91.50,#N/A,#N/A,91.07,91.01
9/1/1989,91.34,91.22,91.44,91.34,91.60,91.44,#N/A,91.60,#N/A,#N/A,#N/A,#N/A,91.22,91.10
9/2/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/3/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/4/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/5/1989,91.29,91.18,91.37,91.29,91.49,91.37,#N/A,91.49,#N/A,#N/A,#N/A,#N/A,91.18,91.07
9/6/1989,91.29,91.18,91.37,91.29,91.49,91.37,#N/A,91.49,#N/A,#N/A,#N/A,#N/A,91.18,91.06
9/7/1989,91.29,91.19,91.36,91.29,91.49,91.36,#N/A,91.49,#N/A,#N/A,#N/A,#N/A,91.19,91.06
9/8/1989,91.31,91.20,91.40,91.31,91.51,91.40,#N/A,91.51,91.58,#N/A,#N/A,91.58,91.20,91.06
9/9/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/10/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/11/1989,91.31,91.19,91.39,91.31,91.51,91.39,#N/A,91.51,91.58,#N/A,#N/A,91.58,91.19,91.06
9/12/1989,91.32,91.19,91.40,91.32,91.52,91.40,#N/A,91.52,91.60,#N/A,#N/A,91.60,91.19,91.06
9/13/1989,91.33,91.22,91.39,91.33,91.55,91.39,#N/A,91.55,91.65,#N/A,#N/A,91.65,91.22,91.06
9/14/1989,91.35,91.24,91.43,91.35,91.60,91.43,#N/A,91.60,91.70,#N/A,#N/A,91.70,91.24,91.07
9/15/1989,91.35,91.22,91.42,91.35,91.60,91.42,#N/A,91.60,91.70,#N/A,#N/A,91.70,91.22,91.04
9/16/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/17/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/18/1989,91.35,91.20,91.42,91.35,91.60,91.42,#N/A,91.60,91.70,#N/A,#N/A,91.70,91.20,91.04
9/19/1989,91.35,91.21,91.42,91.35,91.60,91.42,#N/A,91.60,91.70,#N/A,#N/A,91.70,91.21,91.04
9/20/1989,91.32,91.18,91.35,91.32,91.51,91.35,#N/A,91.51,91.61,#N/A,#N/A,91.61,91.18,91.03
9/21/1989,91.28,91.14,91.29,91.28,91.44,91.29,#N/A,91.44,91.52,#N/A,#N/A,91.52,91.14,91.01
9/22/1989,91.25,91.10,91.27,91.25,91.43,91.27,#N/A,91.43,91.52,#N/A,#N/A,91.52,91.10,91.01
9/23/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/24/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/25/1989,91.17,91.07,91.19,91.17,91.35,91.19,#N/A,91.35,91.46,#N/A,#N/A,91.46,91.07,91.01
9/26/1989,91.14,91.10,91.17,91.14,91.33,91.17,#N/A,91.33,91.44,#N/A,#N/A,91.44,91.10,91.00
9/27/1989,91.14,91.06,91.18,91.14,91.33,91.18,#N/A,91.33,91.44,#N/A,#N/A,91.44,91.06,91.00
9/28/1989,91.10,91.05,91.13,91.10,91.30,91.13,#N/A,91.30,91.39,#N/A,#N/A,91.39,91.05,90.99
9/29/1989,91.09,91.05,91.06,91.09,91.23,91.06,#N/A,91.23,91.30,#N/A,#N/A,91.30,91.05,90.97
9/30/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/1/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/2/1989,91.06,91.10,91.22,91.06,#N/A,91.22,91.30,#N/A,#N/A,91.30,#N/A,#N/A,91.10,91.05
10/3/1989,91.13,91.12,91.26,91.13,91.31,91.26,91.34,91.31,#N/A,91.34,#N/A,#N/A,91.12,91.04
10/4/1989,91.11,91.12,91.24,91.11,91.32,91.24,91.33,91.32,#N/A,91.33,#N/A,#N/A,91.12,91.01
10/5/1989,91.17,91.15,91.31,91.17,91.39,91.31,91.41,91.39,#N/A,91.41,#N/A,#N/A,91.15,91.01
10/6/1989,91.33,91.28,91.50,91.33,91.58,91.50,91.62,91.58,#N/A,91.62,#N/A,#N/A,91.28,91.08
10/7/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/8/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/9/1989,91.36,91.29,91.55,91.36,91.60,91.55,91.65,91.60,#N/A,91.65,#N/A,#N/A,91.29,91.08
10/10/1989,91.32,91.27,91.51,91.32,91.62,91.51,91.72,91.62,#N/A,91.72,#N/A,#N/A,91.27,91.11
10/11/1989,91.32,91.27,91.49,91.32,91.62,91.49,91.72,91.62,#N/A,91.72,#N/A,#N/A,91.27,91.11
10/12/1989,91.38,91.30,91.55,91.38,91.68,91.55,91.78,91.68,#N/A,91.78,#N/A,#N/A,91.30,91.13
