year,month,day,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,DNY1
1995,6,8,0,0,.0200043,0,.0100021,.0199966,.0882001
1995,6,9,0,.0142888,.0200043,.0100021,.0400009,.0400009,.1231999
1995,6,12,0,0,.0099945,.0100021,0,-.0099945,-.0155001
1995,6,13,0,-.0176508,-.0099945,-.0100021,-.0200043,-.0299988,-.2781
1995,6,14,0,0,0,.0100021,0,-.0099945,.0142002
1995,6,15,0,0,.0103355,.0300064,.0599976,.0499954,.046
1995,6,16,0,0,-.0427596,-.0100021,-.0100021,0,.0402999
1995,6,19,0,.0272786,-.0250618,-.0100021,0,0,-.0941
1995,6,20,0,-.0300064,-.0070385,0,-.0200043,-.0299988,.046
1995,6,21,0,0,0,0,0,0,-.0169001
1995,6,22,0,0,.0134811,0,-.0100021,0,-.0601997
1995,6,23,0,.0300064,-.0263585,-.0199966,-.0099945,-.0100021,.0216999
1995,6,26,0,.0100021,.0099909,0,0,0,.0447001
1995,6,27,0,.0100021,.0254936,0,0,0,.0249996
1995,6,28,0,-.0100021,-.0100021,-.0200043,-.0299988,-.0399933,-.0274
1995,6,29,0,0,.0193791,.0100021,.0199966,0,.1200004
1995,6,30,0,0,-.0206711,0,-.0100021,.0100021,-.0481
1995,7,3,0,-.0332129,-.0261128,-.0100021,-.0100021,-.0199966,-.0078001
1995,7,5,0,-.0119256,-.0073388,-.0100021,0,0,-.0103002
1995,7,6,1,-.0992023,-.1363966,-.2800064,-.2699966,-.25,-.1718998
1995,7,7,0,-.0129194,.0315808,0,-.0099945,.0100021,-.0269003
1995,7,10,0,.0147651,-.0424495,0,-.0099945,.0100021,.0204
1995,7,11,0,0,-.0100021,-.0300064,-.0299988,-.0199966,.0441999
1995,7,12,0,0,-.0199966,-.0299988,0,0,-.0077996
1995,7,13,0,0,.0099945,.0100021,.0099945,.0100021,.006
1995,7,14,0,0,.0200043,0,.0100021,-.0100021,.0688996
1995,7,17,0,0,.0100021,.0299988,.0099945,.0199966,.0360003
1995,7,18,0,0,.0200043,.0400009,.0400009,.0400009,-.0001001
1995,7,19,0,0,0,.0100021,.0199966,0,.0749998
1995,7,20,0,0,-.0120026,0,-.0099945,-.0099945,.0092001
1995,7,21,0,0,.0125027,.0100021,.0100021,.0099945,.0218
1995,7,24,0,0,.0130363,0,0,-.0100021,.0153999
1995,7,25,0,0,0,0,.0200043,.0200043,-.0127001
1995,7,26,0,0,0,.0099945,.0299988,.0199966,.0176001
1995,7,27,0,.0099945,-.006663,-.0100021,-.0099945,-.0199966,-.0653996
1995,7,28,0,0,0,0,-.0100021,.0100021,.0088
1995,7,31,0,0,.018754,-.0299988,-.0100021,-.0299988,-.0270004
1995,8,1,0,-.0103277,-.0296809,-.0100021,0,0,.0487003
1995,8,2,0,0,.0250053,.0099945,.0099945,0,-.0544
1995,8,3,0,.0110738,-.0191275,-.0199966,0,0,.0572996
1995,8,4,0,0,0,.0200043,.0100021,.0199966,-.0316
1995,8,7,0,0,0,.0100021,-.0100021,0,-.0143995
1995,8,8,0,-.0134811,-.0004349,-.0199966,-.0299988,-.0299988,.0091
1995,8,9,0,0,.0200043,.0100021,0,-.0100021,.0074
1995,8,10,0,0,.0099945,.0299988,.0199966,.0299988,.0175996
1995,8,11,0,0,-.0099945,-.0100021,-.0099945,.0100021,.0789003
1995,8,14,0,0,-.0099945,0,.0100021,.0200043,-.0080004
1995,8,15,0,0,-.0100021,0,-.0099945,-.0299988,.0430002
1995,8,16,0,0,.0106919,-.0199966,-.0100021,-.0100021,-.0135999
1995,8,17,0,0,0,.0100021,.0100021,-.0099945,.0356998
1995,8,18,0,.0238512,-.0035335,0,-.0100021,0,.0025001
1995,8,21,0,.030983,-.0178748,.0100021,.0100021,.0100021,-.0458002
1995,8,22,1,0,.0099945,.0500031,.0500031,.0400009,.0220003
1995,8,23,0,0,-.0147651,0,0,.0100021,.0095997
1995,8,24,0,0,0,.0100021,0,.0199966,-.0955
1995,8,25,0,0,-.0163193,0,-.0100021,0,-.0688996
1995,8,28,0,.0100021,.0100021,.0200043,0,0,-.0296001
1995,8,29,0,0,.0206711,-.0099945,-.0199966,-.0099945,.0653
1995,8,30,0,.0100021,.0100021,-.0100021,-.0200043,-.0100021,-.0544
1995,8,31,0,.0100021,-.0138491,0,-.0100021,-.0100021,-.0214
1995,9,1,0,0,.0774968,.0399933,.0400009,.0600052,-.0481
1995,9,5,0,.0119934,-.0218062,0,.0200043,.0099945,.0023999
1995,9,6,0,0,-.0387583,.0099945,.0100021,-.0100021,.0018001
1995,9,7,0,0,.0199966,.0300064,.0199966,.0199966,.0365
1995,9,8,0,0,-.0100021,.0100021,0,-.0099945,.0229001
1995,9,11,0,0,.0100021,.0100021,-.0099945,0,-.0027003
1995,9,12,0,0,-.0100021,-.0100021,.0199966,.0100021,-.0506997
1995,9,13,0,0,-.0100021,0,.0099945,0,.0317998
1995,9,14,0,0,0,-.0100021,-.0099945,-.0200043,-.0942001
1995,9,15,0,-.0200043,-.0096572,0,.0100021,.0100021,.0326004
1995,9,18,0,-.0250053,.0017861,.0199966,.0199966,.0099945,.0405998
1995,9,19,0,.0272786,-.0252579,-.0100021,.0100021,-.0099945,-.0416002
1995,9,20,0,0,.0125027,.0099945,0,-.0100021,-.0030999
1995,9,21,0,0,-.0130463,-.0100021,-.0299988,-.0099945,.0558
1995,9,22,0,0,.0272681,-.0099945,-.0100021,-.0100021,.0165
1995,9,25,0,-.0099945,-.0099945,0,-.0199966,-.0200043,.0314002
1995,9,26,1,.0400009,.0400009,.0699997,.0699997,.0600052,.0339999
1995,9,27,0,.0100021,.0099887,-.0299988,-.0400009,-.0400009,.0177002
1995,9,28,0,-.0100021,-.0099878,0,.0100021,0,.007
1995,9,29,0,-.0050049,.0250092,-.0099945,-.0100021,-.0100021,-.0489001
1995,10,2,0,-.0053419,.048955,.0200043,.0299988,.0100021,-.0170002
1995,10,3,0,-.0055327,-.0158468,-.0100021,.0100021,-.0199966,-.0137997
1995,10,4,0,-.0057376,.0414816,-.0199966,-.0200043,-.0200043,-.027
1995,10,5,0,.0059583,.0194378,-.0099945,.0100021,.0100021,-.0178003
1995,10,6,0,.0061966,-.0545486,0,-.0100021,0,-.0004001
1995,10,10,0,.0073769,.0200043,.0100021,0,0,-.0004997
1995,10,11,0,0,0,.0099945,-.0199966,-.0099945,.0201998
1995,10,12,0,0,0,.0100021,.0200043,0,-.0214996
1995,10,13,0,-.0086064,0,-.0299988,-.0299988,-.0199966,-.0327001
1995,10,16,0,0,0,-.0100021,0,0,.0106001
1995,10,17,0,0,-.0103355,-.0100021,0,0,-.0292001
1995,10,18,0,0,.0114752,.0100021,0,.0099945,.0121999
1995,10,19,0,0,.0238512,-.0200043,-.0299988,-.0299988,.0046
1995,10,20,0,.0141047,-.0157878,0,.0200043,.0100021,.0365
1995,10,23,0,.0193939,.0072629,0,-.0199966,0,.0116
1995,10,24,0,-.0100021,.003479,-.0299988,-.0199966,0,-.0251999
1995,10,25,0,.0100021,.0100021,.0099945,.0099945,.0099945,-.0310001
1995,10,26,0,-.0100021,-.0100021,.0199966,.0299988,.0299988,-.0393
1995,10,27,0,.0100021,.009989,-.0100021,-.0100021,-.0100021,.0173998
1995,10,30,0,-.0100021,.0082371,0,0,-.0100021,-.0012999
1995,10,31,0,-.0100021,.009377,0,.0099945,.0099945,.0065999
1995,11,1,0,.0051696,-.0071579,.0100021,.0199966,.0099945,-.0695
1995,11,2,0,.0053542,-.0342966,.0100021,.0200043,.0100021,-.0415998
1995,11,3,0,-.005561,.0664866,.0100021,.0199966,-.0100021,-.0080004
1995,11,6,0,.0062561,.0178688,0,.0199966,.0100021,.0087004
1995,11,7,0,.0065182,-.0503851,.0100021,.0100021,.0099945,.0306997
1995,11,8,0,.0068248,-.0100021,-.0099945,0,.0099945,-.0383
1995,11,9,0,.0142888,0,-.0200043,0,0,-.0015998
1995,11,10,0,-.0075073,.0099945,.0200043,.0299988,.0199966,.0349998
1995,11,13,0,-.0088321,-.0100021,0,.0199966,.0199966,-.0209999
1995,11,14,0,0,0,.0100021,0,0,-.0005002
1995,11,15,1,.0599976,-.0433184,.0200043,.0199966,.0200043,.0110002
1995,11,16,0,.0107084,.0098975,.0200043,.0100021,.0100021,-.0316
1995,11,17,0,.0115497,-.0022211,0,-.0199966,0,-.0058999
1995,11,20,0,.0149918,-.0186957,.0100021,0,0,-.0061002
1995,11,21,0,-.0166575,-.0072795,.0199966,.0099945,.0200043,.0178003
1995,11,22,0,.075016,-.0209569,-.0199966,-.0400009,-.0400009,-.0081
1995,11,24,0,0,.0155033,-.0100021,-.0100021,-.0199966,-.0079002
1995,11,27,0,-.0100021,.0063171,0,.0099945,0,-.0088
1995,11,28,0,.0100021,.0100021,.0199966,0,.0199966,.0100002
1995,11,29,0,0,.0221476,-.0100021,-.0100021,-.0100021,-.0134001
1995,11,30,0,-.0099945,-.0100127,-.0099945,-.0099945,.0100021,-.0399003
1995,12,1,0,.0103355,.0094742,0,0,.0100021,-.0318999
1995,12,4,0,.0057376,-.0140252,0,0,-.0100021,-.0202999
1995,12,5,0,0,0,-.0100021,0,0,.0018001
1995,12,6,0,.0185992,.0100021,.0199966,0,0,-.0067
1995,12,7,0,-.0064548,-.0100021,-.0100021,-.0100021,-.0100021,.0132999
1995,12,8,0,.0134811,.0499954,.0699997,.0699997,.0699997,.0364003
1995,12,11,0,0,-.0099945,.0100021,-.0100021,-.0100021,-.0044003
1995,12,12,0,-.0081534,-.0200043,-.0100021,-.0100021,-.0200043,.0082002
1995,12,13,0,-.0086195,-.0100021,0,-.0099945,-.0100021,.0056
1995,12,14,0,0,-.0310702,0,0,.0100021,-.0079002
1995,12,15,0,.0096822,-.0007172,0,.0100021,0,-.0362997
1995,12,18,0,.0119347,.0095995,.0200043,.0100021,.0200043,.0585999
1995,12,19,1,-.1162453,-.0500031,-.0200043,-.0299988,-.0500031,-.0535002
1995,12,20,0,.0704588,-.0092341,.0100021,0,0,-.0517998
1995,12,21,0,-.0310066,.011812,.0099945,.0199966,.0200043,.0119996
1995,12,22,0,.0344518,-.0155033,.0100021,-.0100021,0,-.0194998
1995,12,26,0,0,-.0170625,0,0,0,-.0261002
1995,12,27,0,0,-.0181289,.0099945,0,.0200043,-.0116997
1995,12,28,0,0,0,.0100021,.0099945,.0100021,-.0430002
1995,12,29,0,0,.0207187,0,.0099945,0,-.0346999
1996,1,2,0,.00535,.0157278,.0199966,.0099945,.0200043,.0239
1996,1,3,0,.0110738,-.0246084,0,0,.0100021,-.0275998
1996,1,4,0,-.0057463,.0513419,0,0,.0100021,.0057998
1996,1,5,0,0,-.0200043,-.0300064,-.0400009,-.0299988,.0167999
1996,1,8,0,0,.0100021,0,-.0099945,.0100021,.0007
1996,1,9,0,-.0140939,.0100021,.0100021,0,.0199966,-.0152998
1996,1,10,0,-.0073769,.0099945,.0200043,.0100021,.0300064,.0112
1996,1,11,0,.0077457,-.0100021,-.0100021,0,-.0199966,-.0022001
1996,1,12,0,0,-.0199966,-.0099945,-.0100021,-.0100021,-.0352998
1996,1,16,0,-.0103277,-.0099834,-.0200043,-.0299988,-.0299988,-.0791001
1996,1,17,0,0,-.0114839,-.0199966,-.0199966,-.0200043,-.0226002
1996,1,18,0,0,-.0119256,0,.0100021,-.0099945,-.0404
1996,1,19,0,-.0129293,.0154962,.0100021,.0100021,.0099945,.0178003
1996,1,22,0,-.0344518,.0229679,.0199966,.0099945,.0200043,.0345998
1996,1,23,0,0,.0134811,0,.0099945,.0200043,.0124002
1996,1,24,0,-.0299988,-.0144955,.0100021,-.0099945,-.0200043,-.0178003
1996,1,25,0,0,-.0163193,0,0,.0099945,.0108004
1996,1,26,0,-.0100021,-.0100021,.0099945,0,-.0100021,-.0213003
1996,1,29,0,-.0100021,-.0100021,.0100021,-.0100021,-.0100021,.0047002
1996,1,30,0,-.0099945,-.0100093,-.0099945,0,-.0100021,-.0451002
1996,1,31,1,-.0200043,-.0199966,-.0299988,-.0299988,-.0499954,-.0496998
1996,2,1,0,0,-.0258389,0,-.0100021,0,-.0388002
1996,2,2,0,-.0053674,-.0184289,.0199966,.0200043,.0200043,-.0411997
1996,2,5,0,0,0,-.0200043,-.0099945,-.0099945,.0318999
1996,2,6,0,0,-.0344518,.0100021,0,-.0099945,-.0117002
1996,2,7,0,.0065873,0,-.0100021,-.0100021,-.0200043,-.0190001
1996,2,8,0,.006901,.0100021,.0100021,-.0099945,-.0100021,-.0084
