year,month,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50
2008,8,-.024000168,-.6684593,-.015,0,-.024000168
2008,9,-.020999432,-.89425212,-.152,0,-.020999432
2008,10,-.13350034,-.87339282,-.23550001,0,-.13350034
2008,11,.16450024,-2.1383674,-.31799999,.16450024,0
2008,12,.027499795,-.25873765,-.063500002,.027499795,0
2009,1,-.014999986,-1.3511556,-.041999999,0,-.014999986
2009,2,-.056249976,-.5288958,-.164,0,-.056249976
2009,3,.016250014,.38054597,.043499999,0,.016250014
2009,4,.04399997,.45929044,-.029999999,0,.04399997
2009,5,-.028000057,-1.1970288,.029999999,0,-.028000057
2009,6,.032999992,-.47902808,-.0385,.032999992,0
2009,7,-.055500031,-1.3977941,0,0,-.055500031
2009,8,-.0095000267,-.49645403,.0099999998,0,-.0095000267
2009,9,-.015500039,-1.7021691,.1235,0,-.015500039
2009,10,-.010499954,-.29185343,.001,0,-.010499954
2009,11,-.011500031,1.3544984,.0165,-.011500031,0
2009,12,-.032000005,.18559924,.0070000002,-.032000005,0
2010,1,-.011500031,-.12693505,-.020200001,0,-.011500031
2010,2,.00099998713,-1.3175796,-.14399999,.00099998713,0
2010,3,-.0020000041,.22658944,.0099999998,-.0020000041,0
2010,4,.0015000105,.11092604,-.021,0,.0015000105
2010,5,.013999999,-.31385952,-.061000001,.013999999,0
2010,6,-.005499959,1.0167587,.0049999999,-.005499959,0
2010,7,.029500067,.63990408,.035,0,.029500067
2010,8,-.0044999719,-.35802746,-.0015,0,-.0044999719
2010,9,-.0080000162,.36531109,.066,-.0080000162,0
2010,10,.0065000057,-.49609524,-.0735,.0065000057,0
2010,11,-.0080000758,-.063023098,.0049999999,0,-.0080000758
2010,12,-.03549999,-.10992184,.082999997,0,-.03549999
2011,1,.0099999905,.10516001,.032499999,0,.0099999905
2011,2,-.022499979,.1023407,-.027000001,-.022499979,0
2011,3,.10700005,-.27681288,.1,.10700005,0
2011,4,.016000032,.40577641,-.017000001,0,.016000032
2011,5,-.07099998,.28567505,-.037999999,-.07099998,0
2011,6,.0010000467,.47377849,.105,0,.0010000467
2011,7,.010999918,.090911426,.039999999,0,.010999918
2011,8,-.10900003,-.96968746,-.1075,0,-.10900003
2011,9,.014499962,1.3377904,.028999999,0,.014499962
2011,10,.11750007,-1.6012172,-.0035000001,.11750007,0
2011,11,-.084999979,3.0566707,.111,-.084999979,0
2011,12,.00050002337,-.86188406,-.013,.00050002337,0
2012,1,.0034999549,-.86568999,.056000002,.0034999549,0
2012,2,-.0015000105,-.21954516,.021000002,0,-.0015000105
2012,3,.00049996376,-.24315122,.048,.00049996376,0
2012,4,.0024999678,-.2726649,-.0099999998,.0024999678,0
2012,5,.0094999969,-.74159986,.02,.0094999969,0
2012,6,.015000015,.39505106,.099500008,0,.015000015
2012,7,-.089500025,-2.0657997,.033,0,-.089500025
2012,8,.019000001,-2.9409981,.0115,.019000001,0
2012,9,.0025000051,1.1170291,-.015,0,.0025000051
2012,10,.0029999912,-.075887486,-.02,.0029999912,0
2012,11,.0085000098,-.025976999,0,.0085000098,0
2012,12,-.0044999979,.022045992,-.037500001,-.0044999979,0
2013,1,.0059999973,.16061284,.015,0,.0059999973
2013,2,-.0085000098,.26410723,-.0125,-.0085000098,0
