year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1
1997,5,-.090000004,.55083001,,.59736162,-.072434999,-.090000004,0,-.072434999,0
1997,6,0,0,,0,0,0,0,0,0
1997,7,-.02,.19237,,.17864484,.0082543958,-.02,0,0,.0082543958
1997,8,.0099999998,-.42781001,,-.54579496,.031133326,.0099999998,0,.031133326,0
1997,9,0,-.20644,,-.28722295,.016395759,0,0,.016395759,0
1997,10,0,0,,0,0,0,0,0,0
1997,11,0,-.55214,,-.69104326,-.014207306,0,0,0,-.014207306
1997,12,-.0099999998,-.12988,,-.19778483,.0087742126,0,-.0099999998,.0087742126,0
1998,1,0,0,,0,0,0,0,0,0
1998,2,0,-.33719999,,-.43995395,.033272285,0,0,.033272285,0
1998,3,0,-.01808,,-.067186885,.017450772,0,0,.017450772,0
1998,4,0,0,,0,0,0,0,0,0
1998,5,-.0099999998,-.11687,,-.18258557,-.0013562503,0,-.0099999998,0,-.0013562503
1998,6,0,0,,0,0,0,0,0,0
1998,7,.0099900002,.087630004,,.056295104,.022386618,0,.0099900002,0,.022386618
1998,8,.0099999998,.16447,,.14605319,.020505741,0,.0099999998,0,.020505741
1998,9,.07,-.75181001,,-.92428726,.055026963,.07,0,.055026963,0
1998,10,-.25,2.0426199,,2.3399723,-.30918345,-.25,0,-.30918345,0
1998,11,0,.81194001,,.90238065,-.004548443,0,0,-.004548443,0
1998,12,0,-.13276,,-.20114712,.015252889,0,0,.015252889,0
1999,1,0,0,,0,0,0,0,0,0
1999,2,0,.14979,,.12890695,.027153343,0,0,0,.027153343
1999,3,-.02,-.20642,,-.28719833,-.011412354,0,-.02,0,-.011412354
1999,4,0,0,,0,0,0,0,0,0
1999,5,.039999999,-1.43559,,-1.7230177,.13766676,.039999999,0,.13766676,0
1999,6,-.07,1.60906,,1.8335106,-.09017659,-.07,0,-.09017659,0
1999,7,0,0,,0,0,0,0,0,0
1999,8,.015,.57282001,,.62305892,.021817189,0,.015,0,.021817189
1999,9,0,0,,0,0,0,0,0,0
1999,10,.039999999,-.82928002,,-1.0147691,.092524894,.039999999,0,.092524894,0
1999,11,.060010001,-.41762999,,-.53390634,.10575362,.060010001,0,.10575362,0
1999,12,-.0049999999,.47722,,.51138431,.053048622,-.0049999999,0,0,.053048622
2000,1,0,0,,0,0,0,0,0,0
2000,2,.0049999999,-.41010001,,-.52511901,.015555812,.0049999999,0,.015555812,0
2000,3,-.0099900002,.061159998,,.025374765,.0074920333,-.0099900002,0,0,.0074920333
2000,4,0,0,,0,0,0,0,0,0
2000,5,.07,-.54540002,,-.68316674,.085065536,.07,0,.085065536,0
2000,6,-.01501,.25301999,,.24948938,-.012561675,-.01501,0,-.012561675,0
2000,7,0,0,,0,0,0,0,0,0
2000,8,.0049999999,-.12621,,-.19349703,.03527002,.0049999999,0,.03527002,0
2000,9,0,0,,0,0,0,0,0,0
2000,10,.025,-.30265999,,-.39961129,.064729385,.025,0,.064729385,0
2000,11,0,-.66751999,,-.82580596,.023131896,0,0,.023131896,0
2000,12,-.0049999999,-.69114,,-.85339838,.038203172,0,-.0049999999,.038203172,0
2001,1,-.11999,3.4521101,,3.9402883,-.17597561,-.11999,0,-.17597561,0
2001,2,0,0,,0,0,0,0,0,0
2001,3,-.075000003,-.67957997,,-.83990991,-.053571999,0,-.075000003,0,-.053571999
2001,4,-.37,2.2295599,,2.5583985,-.42185295,-.37,0,-.42185295,0
2001,5,-.14,.40882,,.43148667,-.1512832,-.14,0,-.1512832,0
2001,6,.075000003,-.40318999,,-.51704556,.11125291,.075000003,0,.11125291,0
2001,7,0,0,,0,0,0,0,0,0
2001,8,-.02,-.71223003,,-.87803721,-.02112448,0,-.02,0,-.02112448
2001,9,-.045000002,,,-.0088854749,.11848942,,,.11848942,0
2001,10,-.039999999,-.30724001,,-.40495259,-.047269069,0,-.039999999,0,-.047269069
2001,11,-.14,.94037002,,1.0524042,-.18374658,-.14,0,-.18374658,0
2001,12,-.029999999,.22721,,.25359997,-.063716613,-.029999999,0,-.063716613,0
2002,1,.02,-.12751,,-.19023319,.047589209,.02,0,.047589209,0
2002,2,0,0,,0,0,0,0,0,0
2002,3,-.045000002,-.38271001,,-.4992249,-.05941423,0,-.045000002,0,-.05941423
2002,4,0,0,,0,0,0,0,0,0
2002,5,-.02,-.37351999,,-.50116938,-.026222261,0,-.02,0,-.026222261
2002,6,-.0099999998,-.60478997,,-.74804968,.021926409,0,-.0099999998,.021926409,0
2002,7,0,0,,0,0,0,0,0,0
2002,8,-.039999999,-.69761002,,-.95914096,-.094932511,0,-.039999999,0,-.094932511
2002,9,-.0049999999,-.95709997,,-.55322844,.0053023798,0,-.0049999999,.0053023798,0
2002,10,0,0,,0,0,0,0,0,0
2002,11,-.085000001,-.92593002,,-.4782536,-.10658477,0,-.085000001,0,-.10658477
2002,12,.0099999998,-.33811,,-.2257687,.040893834,.0099999998,0,.040893834,0
2003,1,.029999999,.16534001,,.077271312,.069785483,0,.029999999,0,.069785483
2003,2,0,0,,0,0,0,0,0,0
2003,3,-.02,-.50717002,,-.29854548,.0087849321,0,-.02,.0087849321,0
2003,4,0,0,,0,0,0,0,0,0
2003,5,-.039999999,.17834,,.057117216,-.072969258,-.039999999,0,-.072969258,0
2003,6,.105,-.27153,,-.18781608,.16752341,.105,0,.16752341,0
2003,7,0,0,,0,0,0,0,0,0
2003,8,0,-.10492,,-.075863376,-.020500993,0,0,0,-.020500993
2003,9,0,-.18494999,,-.13104099,.017527979,0,0,.017527979,0
2003,10,-.0099999998,-.05012,,-.067090891,-.07269451,0,-.0099999998,0,-.07269451
2003,11,0,0,,0,0,0,0,0,0
2003,12,.0049999999,-.05813,,-.076028295,.054547239,.0049999999,0,.054547239,0
2004,1,.0049999999,-.9677,.082799911,-.54345661,.15632111,.0049999999,0,.15632111,0
2004,2,0,0,0,0,0,0,0,0,0
2004,3,-.0049999999,-.072939999,.04309988,-.061503466,-.044507902,0,-.0049999999,0,-.044507902
2004,4,0,0,0,0,0,0,0,0,0
2004,5,-.0049999999,.36567,.069000006,.13141021,.023051457,-.0049999999,0,0,.023051457
2004,6,-.0099999998,.28121999,-.0067000389,.2052774,-.0044783046,-.0099999998,0,-.0044783046,0
2004,7,0,0,0,0,0,0,0,0,0
2004,8,.03999,-.29910001,-.0035998821,.40495259,.064900227,.03999,0,0,.064900227
2004,9,-.0099999998,.063929997,-.010699987,.22605421,.0022720452,-.0099999998,0,0,.0022720452
2004,10,0,0,0,0,0,0,0,0,0
2004,11,-.0099900002,.084109999,-.0078999996,.020945443,-.013883591,-.0099900002,0,-.013883591,0
2004,12,-.0049999999,.058329999,-.00049996376,.00017704,.0020373615,-.0049999999,0,0,.0020373615
2005,1,0,0,0,0,0,0,0,0,0
2005,2,0,.0050400002,.056200027,-.020828769,.0038835218,0,0,.0038835218,0
2005,3,.0099999998,-.28511,.073499918,-.17558037,.089912698,.0099999998,0,.089912698,0
2005,4,0,0,0,0,0,0,0,0,0
2005,5,.0099999998,.32115999,-.061800003,.12748425,.038729887,0,.0099999998,0,.038729887
2005,6,.015,-.42657,-.049200058,-.26120573,.060721029,.015,0,.060721029,0
2005,7,0,0,0,0,0,0,0,0,0
2005,8,-.0099999998,.23399,-.058700085,.035919484,-.0068225823,-.0099999998,0,-.0068225823,0
