year,period,eureon3m_hf,stoxx50_hf,MPshockSign,CBIshockSign,MPshockPoorman,CBIshockPoorman
2005,11,-0.007500172,0.653583606,-0.021656517,0.014156346,-0.007500172,0
2005,12,-0.019999981,0.328721955,-0.019006087,-0.000993894,-0.019999981,0
2006,1,-0.016000032,0.025144062,-0.008688896,-0.007311137,-0.016000032,0
2006,2,-0.003000021,0.121340146,-0.004824404,0.001824383,-0.003000021,0
2006,3,0.001499891,-0.612693489,0.017536098,-0.016036207,0.001499891,0
2006,4,-0.07249999,0.537788749,-0.050983958,-0.021516031,-0.07249999,0
2006,5,0.003999949,-0.02851931,0.002781327,0.001218622,0.003999949,0
2006,6,-0.032500029,0.336031772,-0.02545638,-0.007043648,-0.032500029,0
2006,7,0.021999836,-0.098460823,0.01369748,0.008302356,0.021999836,0
2006,8,0.013499737,0.164483579,0.002243461,0.011256276,0,0.013499737
2006,9,0,0,0,0,0,0
2006,10,0.000500202,0.09137582,-0.00225335,0.002753553,0,0.000500202
2006,11,-0.003499985,-0.949562855,0.024265474,-0.027765458,0,-0.003499985
2006,12,0.004999876,0.805638298,-0.019572383,0.024572259,0,0.004999876
2007,1,-0.02850008,0.841518573,-0.037305385,0.008805304,-0.02850008,0
2007,2,0.000999928,-0.258552335,0.007583602,-0.006583674,0.000999928,0
2007,3,0.005000114,-0.061786785,0.004192849,0.000807266,0.005000114,0
2007,4,-0.006999969,-0.33717264,0.005737638,-0.012737608,0,-0.00699997
2007,5,0.004499912,-0.124175165,0.005652022,-0.001152109,0.004499912,0
2007,6,0.001999855,-0.169482851,0.005643302,-0.003643446,0.001999855,0
2007,7,0.000500202,0.02516757,-0.000439423,0.000939625,0,0.000500202
2007,8,0.01099968,-0.464950083,0.01823822,-0.007238541,0.01099968,0
2007,9,-0.029500484,-0.024917245,-0.014067577,-0.015432907,0,-0.029500484
2007,10,0.006500244,-0.128455548,0.006769458,-0.000269214,0.006500244,0
2007,11,-0.008499622,-0.377907678,0.006103842,-0.014603464,0,-0.008499622
2007,12,-0.00150013,1.038134292,-0.02919215,0.02769202,-0.00150013,0
2008,1,-0.005000114,-0.253037382,0.004432486,-0.009432601,0,-0.005000114
2008,2,-0.031499863,-0.289936781,-0.007806444,-0.023693418,0,-0.031499863
2008,3,0.003499746,1.42683807,-0.037341651,0.040841397,0,0.003499746
2008,4,0.00549984,-0.142656408,0.006658322,-0.001158482,0.00549984,0
2008,5,-0.00399971,0.76432101,-0.022940194,0.018940484,-0.00399971,0
2008,6,0.104499817,-0.491710439,0.065721452,0.038778365,0.10449982,0
2008,7,-0.039999962,0.852704126,-0.043361779,0.003361817,-0.039999962,0
2008,8,-0.024000168,-0.668459296,0.006313901,-0.030314069,0,-0.024000168
2008,9,-0.020999432,-0.894252136,0.014000386,-0.034999818,0,-0.020999432
2008,10,-0.133500338,-0.87339285,-0.042821556,-0.090678781,0,-0.13350034
2008,11,0.164500237,-2.138367504,0.14083563,0.023664605,0.16450024,0
2008,12,0.027499795,-0.258737653,0.020838613,0.006661182,0.027499795,0
2009,1,-0.014999986,-1.351155654,0.029518036,-0.04451802,0,-0.014999986
2009,2,-0.056249976,-0.528895818,-0.013634666,-0.042615309,0,-0.056249976
2009,3,0.016250014,0.380545959,-0.002300928,0.018550942,0,0.016250014
2009,4,0.04399997,0.459290437,0.009416663,0.034583308,0,0.04399997
2009,5,-0.028000057,-1.197028697,0.018795336,-0.046795394,0,-0.028000057
2009,6,0.032999992,-0.479028079,0.029624077,0.003375916,0.032999992,0
2009,7,-0.055500031,-1.397794142,0.010545782,-0.066045813,0,-0.055500031
2009,8,-0.009500027,-0.496454038,0.008851491,-0.018351518,0,-0.009500027
2009,9,-0.015500039,-1.702169076,0.038884833,-0.054384872,0,-0.015500039
2009,10,-0.010499954,-0.291853415,0.002746021,-0.013245975,0,-0.010499954
2009,11,-0.011500031,1.354498401,-0.042859625,0.031359594,-0.011500031,0
2009,12,-0.032000005,0.185599231,-0.021084921,-0.010915083,-0.032000005,0
2010,1,-0.011500031,-0.126935042,-0.002272337,-0.009227694,0,-0.011500031
2010,2,0.000999987,-1.317579582,0.036598127,-0.03559814,0.000999987,0
2010,3,-0.002000004,0.226589438,-0.007207943,0.005207939,-0.002000004,0
2010,4,0.00150001,0.110926038,-0.00228907,0.00378908,0,0.001500011
2010,5,0.013999999,-0.313859517,0.015598905,-0.001598907,0.013999999,0
2010,6,-0.005499959,1.01675868,-0.03060643,0.025106471,-0.005499959,0
2010,7,0.029500067,0.639904097,-0.002781616,0.032281682,0,0.029500067
2010,8,-0.004499972,-0.358027443,0.007559002,-0.012058974,0,-0.004499972
2010,9,-0.008000016,0.365311086,-0.014008549,0.006008532,-0.008000016,0
2010,10,0.006500006,-0.49609524,0.016841678,-0.010341671,0.006500006,0
2010,11,-0.008000076,-0.063023102,-0.002273375,-0.005726701,0,-0.008000076
2010,12,-0.03549999,-0.109921835,-0.014738432,-0.020761557,0,-0.03549999
2011,1,0.00999999,0.10516001,0.002118894,0.007881097,0,0.009999991
2011,2,-0.022499979,0.102340698,-0.014053849,-0.00844613,-0.022499979,0
2011,3,0.107000053,-0.276812889,0.061083954,0.045916099,0.10700005,0
2011,4,0.016000032,0.405776409,-0.003117165,0.019117197,0,0.016000032
2011,5,-0.07099998,0.285675056,-0.043326717,-0.027673263,-0.07099998,0
2011,6,0.001000047,0.473778498,-0.012480232,0.013480279,0,0.001000047
2011,7,0.010999918,0.090911427,0.003009231,0.007990687,0,0.010999918
2011,8,-0.109000027,-0.969687492,-0.027933186,-0.081066839,0,-0.10900003
2011,9,0.014499962,1.337790415,-0.029401876,0.043901838,0,0.014499962
2011,10,0.117500067,-1.601217091,0.10261907,0.014880995,0.11750007,0
2011,11,-0.084999979,3.056670636,-0.12624453,0.041244559,-0.084999979,0
2011,12,0.000500023,-0.861884058,0.023863316,-0.023363292,0.000500023,0
2012,1,0.003499955,-0.865690023,0.025467554,-0.021967599,0.003499955,0
2012,2,-0.00150001,-0.219545152,0.005264941,-0.006764952,0,-0.001500011
2012,3,0.000499964,-0.243151225,0.006911671,-0.006411707,0.000499964,0
2012,4,0.002499968,-0.272664919,0.008720269,-0.006220301,0.002499968,0
2012,5,0.009499997,-0.74159985,0.025067838,-0.015567841,0.009499997,0
2012,6,0.015000015,0.395051047,-0.003323328,0.018323343,0,0.015000015
2012,7,-0.089500025,-2.065799803,0.011847341,-0.10134736,0,-0.089500025
2012,8,0.019000001,-2.940997986,0.090075426,-0.071075425,0.019000001,0
2012,9,0.002500005,1.117029045,-0.029353587,0.03185359,0,0.002500005
2012,10,0.002999991,-0.075887486,0.003579109,-0.000579117,0.002999991,0
2012,11,0.00850001,-0.025976999,0.004961705,0.003538305,0.00850001,0
2012,12,-0.004499998,0.022045992,-0.002854,-0.001645998,-0.004499998,0
2013,1,0.005999997,0.160612836,-0.001400361,0.007400358,0,0.005999997
2013,2,-0.00850001,0.264107212,-0.011485832,0.002985822,-0.00850001,0
2013,3,0.001000002,0.512014885,-0.013527828,0.01452783,0,0.001000002
2013,4,0,-0.641835675,0.01758457,-0.01758457,0,0
2013,5,-0.006499998,0.116900802,-0.006452766,-4.72318E-05,-0.006499998,0
2013,6,0.005000003,-0.648588777,0.020269588,-0.015269585,0.005000003,0
2013,7,-0.009999998,1.443380177,-0.04454473,0.034544732,-0.009999998,0
2013,8,0.004000001,0.074964758,-5.38323E-05,0.004053833,0,0.004000001
2013,9,-0.000999987,0.005328424,-0.000645978,-0.000354009,-0.000999987,0
2013,10,0.002500005,-0.138096973,0.005033488,-0.002533483,0.002500005,0
2013,11,-0.000499994,0.563226998,-0.0156809,0.015180907,-0.000499994,0
