year,period,ff4_hf,sp500_hf,MPshockSign,CBIshockSign,MPshockPoorman,CBIshockPoorman
1999,11,.06001,-.41763,.052799944,.0072100572,.060010001,0
1999,12,-.005,.47722,-.028547464,.023547465,-.0049999999,0
2000,1,0,0,0,0,0,0
2000,2,.005,-.4101,.024883943,-.019883944,.0049999999,0
2000,3,-.00999,.06116,-.0083332146,-.001656785,-.0099900002,0
2000,4,0,0,0,0,0,0
2000,5,.07,-.5454,.064768843,.0052311574,.07,0
2000,6,-.01501,.25302,-.021315254,.0063052541,-.01501,0
2000,7,0,0,0,0,0,0
2000,8,.005,-.12621,.0093887523,-.0043887524,.0049999999,0
2000,9,0,0,0,0,0,0
2000,10,.025,-.30266,.029019687,-.0040196883,.025,0
2000,11,0,-.66752,.036434356,-.036434356,0,0
2000,12,-.005,-.69114,.035223573,-.040223576,0,-.0049999999
2001,1,-.11999,3.45211,-.24841693,.12842692,-.11999,0
2001,2,0,0,0,0,0,0
2001,3,-.075,-.67958,-.00040738881,-.074592613,0,-.075000003
2001,4,-.37,2.22956,-.30669311,-.06330689,-.37,0
2001,5,-.14,.40882,-.092314079,-.047685921,-.14,0
2001,6,.075,-.40319,.059506785,.015493217,.075000003,0
2001,7,0,0,0,0,0,0
2001,8,-.02,-.71223,.028874703,-.048874702,0,-.02
2001,9,-.045,,,,,
2001,10,-.04,-.30724,-.0032303277,-.036769673,0,-.039999999
2001,11,-.14,.94037,-.12132697,-.018673034,-.14,0
2001,12,-.03,.22721,-.027401501,-.0025984987,-.029999999,0
2002,1,.02,-.12751,.016959708,.0030402914,.02,0
2002,2,0,0,0,0,0,0
2002,3,-.045,-.38271,-.0016110492,-.043388952,0,-.045000002
2002,4,0,0,0,0,0,0
2002,5,-.02,-.37352,.010387345,-.030387346,0,-.02
2002,6,-.01,-.6047900000000001,.028010448,-.038010448,0,-.0099999998
2002,7,0,0,0,0,0,0
2002,8,-.04,-.69761,.018076718,-.058076717,0,-.039999999
2002,9,-.005,-.9571,.049740117,-.054740116,0,-.0049999999
2002,10,0,0,0,0,0,0
2002,11,-.085,-.92593,.0080388058,-.093038805,0,-.085000001
2002,12,.01,-.33811,.023454608,-.013454609,.0099999998,0
2003,1,.03,.16534,.0059754667,.024024533,0,.029999999
2003,2,0,0,0,0,0,0
2003,3,-.02,-.50717,.017682185,-.037682187,0,-.02
2003,4,0,0,0,0,0,0
2003,5,-.04,.17834,-.029734096,-.010265905,-.039999999,0
2003,6,.105,-.27153,.067320563,.037679438,.105,0
2003,7,0,0,0,0,0,0
2003,8,0,-.10492,.0057267086,-.0057267086,0,0
2003,9,0,-.18495,.01009488,-.01009488,0,0
2003,10,-.01,-.05012,-.0022643667,-.0077356333,0,-.0099999998
2003,11,0,0,0,0,0,0
2003,12,.005,-.05813,.0056728325,-.00067283248,.0049999999,0
2004,1,.005,-.9677,.055318683,-.050318681,.0049999999,0
2004,2,0,0,0,0,0,0
2004,3,-.005,-.07294,.0014811869,-.006481187,0,-.0049999999
2004,4,0,0,0,0,0,0
2004,5,-.005,.36567,-.022458879,.017458878,-.0049999999,0
2004,6,-.01,.28122,-.020349458,.010349457,-.0099999998,0
2004,7,0,0,0,0,0,0
2004,8,.03999,-.2991,.036320377,.0036696226,.03999,0
