year,month,day,eureon3m_hf,stoxx50_hf
2008,9,29,0.000499725,-0.323072523
2008,10,2,-0.03399992,-0.745469064
2008,10,7,-0.00150013,-0.768714249
2008,10,8,-0.091500282,1.668095231
2008,10,15,-0.006500006,-1.027304769
2008,11,6,0.164500237,-2.138367504
2008,12,4,0.035499811,-0.036657095
2008,12,18,-0.001999974,-0.631551862
2008,12,19,-0.006000042,0.409471303
2009,1,15,-0.017500043,-1.190303147
2009,1,16,0.002500057,-0.160852507
2009,2,3,0,0.246290535
2009,2,5,-0.056249976,-0.775186352
2009,3,5,0.014999986,0.114508197
2009,3,19,0.001250029,0.266037762
2009,4,2,0.043000042,-0.086515911
2009,4,6,0.000999928,0.545806348
2009,5,7,-0.028000057,-1.197028697
2009,6,4,0.032999992,-0.479028079
2009,6,25,0,0
2009,7,2,-0.055500031,-1.397794142
2009,8,6,-0.009500027,-0.496454038
2009,9,3,-0.017500043,-0.376103416
2009,9,24,0.002000004,-1.32606566
2009,10,8,-0.010499954,-0.291853415
2009,11,5,-0.011500031,1.354498401
2009,12,3,-0.032000005,0.185599231
2010,1,14,-0.004500002,-0.069597483
2010,1,18,-0.007000029,-0.05733756
2010,2,4,0.000999987,-1.317579582
2010,3,4,-0.002000004,0.226589438
2010,4,8,0.00150001,0.110926038
2010,5,6,0.013999999,-0.313859517
2010,6,10,-0.005499959,1.01675868
2010,7,8,0.027500033,0.475898445
2010,7,28,0.002000034,0.164005652
2010,8,5,-0.004499972,-0.358027443
2010,9,2,-0.008000016,0.365311086
2010,10,7,0.006500006,-0.49609524
2010,11,4,-0.008000076,-0.063023102
2010,12,2,-0.028500021,-0.130439259
2010,12,17,0.001000047,-0.030335464
2010,12,21,-0.008000016,0.050852887
2011,1,13,0.00999999,0.10516001
2011,2,3,-0.022499979,0.102340698
2011,3,3,0.107000053,-0.276812889
2011,4,7,0.016000032,0.405776409
2011,5,5,-0.07099998,0.285675056
2011,6,9,0.004999995,0.378443372
2011,6,29,-0.003999949,0.095335126
2011,7,7,0.010999918,0.090911427
2011,8,4,-0.110000014,-1.171238646
2011,8,25,0.000999987,0.201551154
2011,9,8,0.009999931,-0.34309943
