,Unnamed: 0,Date,GLOBAL FACTOR 1975-2010,GLOBAL FACTOR 1990-2012
0,,1975-01-01,17.2559160339637,
1,,1975-02-01,29.998946682904702,
2,,1975-03-01,37.52218728015029,
3,,1975-04-01,47.59621338647269,
4,,1975-05-01,48.0481182563153,
5,,1975-06-01,46.648881306328306,
6,,1975-07-01,36.14983378029971,
7,,1975-08-01,32.90267403019326,
8,,1975-09-01,23.44810026117161,
9,,1975-10-01,29.34072072633934,
10,,1975-11-01,32.74433166305888,
11,,1975-12-01,30.96664145674961,
12,,1976-01-01,48.37025432106621,
13,,1976-02-01,52.778675412320965,
14,,1976-03-01,54.305414505991294,
15,,1976-04-01,55.6591236103147,
16,,1976-05-01,55.682354606161,
17,,1976-06-01,58.4857120953128,
18,,1976-07-01,54.10798412013689,
19,,1976-08-01,49.40985957448254,
20,,1976-09-01,43.8089688135196,
21,,1976-10-01,38.358097907855296,
22,,1976-11-01,40.97755819038978,
23,,1976-12-01,50.75609003843777,
24,,1977-01-01,43.15177052692716,
25,,1977-02-01,41.41623829675869,
26,,1977-03-01,40.90259398186431,
27,,1977-04-01,41.84234293488929,
28,,1977-05-01,38.30313177134295,
29,,1977-06-01,37.9078079962102,
30,,1977-07-01,32.08007970710937,
31,,1977-08-01,29.2157004037506,
32,,1977-09-01,26.99289377392674,
33,,1977-10-01,17.071796997172207,
34,,1977-11-01,20.299972140249597,
35,,1977-12-01,19.495600670730973,
36,,1978-01-01,18.835207319866488,
37,,1978-02-01,16.96715558233569,
38,,1978-03-01,19.51599335896081,
39,,1978-04-01,34.15865895388711,
40,,1978-05-01,33.714481525182336,
41,,1978-06-01,29.934854262727747,
42,,1978-07-01,37.152159963696555,
43,,1978-08-01,44.59680259034769,
44,,1978-09-01,43.75796207152489,
45,,1978-10-01,34.94104039652076,
46,,1978-11-01,33.24752611574415,
47,,1978-12-01,31.08851430190495,
48,,1979-01-01,35.21243252730239,
49,,1979-02-01,31.4479481688225,
50,,1979-03-01,38.90052775017824,
51,,1979-04-01,42.29253073105355,
52,,1979-05-01,35.09548487370707,
53,,1979-06-01,33.78664551466003,
54,,1979-07-01,36.63034428228496,
55,,1979-08-01,44.938681703064915,
56,,1979-09-01,46.81619452046924,
57,,1979-10-01,35.17006580749364,
58,,1979-11-01,34.51190717354127,
59,,1979-12-01,40.3834578402154,
60,,1980-01-01,48.95739069433175,
61,,1980-02-01,45.91707497548159,
62,,1980-03-01,27.44577143528019,
63,,1980-04-01,22.96943228667989,
64,,1980-05-01,28.92483467699916,
65,,1980-06-01,33.62350966271134,
66,,1980-07-01,47.48820293504174,
67,,1980-08-01,47.02109368534538,
68,,1980-09-01,54.09718976019402,
69,,1980-10-01,55.36256419451823,
70,,1980-11-01,58.27029815265045,
71,,1980-12-01,50.69369175045175,
72,,1981-01-01,46.7901436338641,
73,,1981-02-01,52.22811532976544,
74,,1981-03-01,61.09180004403588,
75,,1981-04-01,64.17382158484388,
76,,1981-05-01,63.53547221369265,
77,,1981-06-01,57.31579830745532,
78,,1981-07-01,49.63288102434438,
79,,1981-08-01,40.18446469388088,
80,,1981-09-01,26.887474038227477,
81,,1981-10-01,28.566901936859786,
82,,1981-11-01,27.769616187466834,
83,,1981-12-01,27.680610143484845,
84,,1982-01-01,23.174663492230465,
85,,1982-02-01,11.998163870427465,
86,,1982-03-01,8.133970176952676,
87,,1982-04-01,10.504451150961906,
88,,1982-05-01,6.618901363557265,
89,,1982-06-01,-0.32415034332687487,
90,,1982-07-01,-0.8708491147113698,
91,,1982-08-01,9.055875996417662,
92,,1982-09-01,7.266606804145521,
93,,1982-10-01,24.370405524826822,
94,,1982-11-01,30.836558413458683,
95,,1982-12-01,32.15304549799144,
96,,1983-01-01,38.71620167632003,
97,,1983-02-01,42.3993799058128,
98,,1983-03-01,47.117372102612734,
99,,1983-04-01,52.31735765383417,
100,,1983-05-01,56.2312695540262,
101,,1983-06-01,63.161668648929066,
102,,1983-07-01,58.925985458811994,
103,,1983-08-01,58.46144338563021,
104,,1983-09-01,54.442857391518004,
105,,1983-10-01,46.81350881754334,
106,,1983-11-01,55.01758155634906,
107,,1983-12-01,57.00917328302431,
108,,1984-01-01,53.90997100306862,
109,,1984-02-01,47.30183061821441,
110,,1984-03-01,51.57200864937642,
111,,1984-04-01,49.88586594533451,
112,,1984-05-01,32.55209179283021,
113,,1984-06-01,30.628421153107222,
114,,1984-07-01,26.755490477159622,
115,,1984-08-01,39.204357593746224,
116,,1984-09-01,32.74576768376748,
117,,1984-10-01,28.116524580972563,
118,,1984-11-01,22.77098366705605,
119,,1984-12-01,21.64128646590058,
120,,1985-01-01,31.02401077341923,
121,,1985-02-01,30.24199334197209,
122,,1985-03-01,21.55750154233631,
123,,1985-04-01,18.5613348020833,
124,,1985-05-01,16.746726027813523,
125,,1985-06-01,17.207983114244705,
126,,1985-07-01,22.244298825608944,
127,,1985-08-01,19.655345825028462,
128,,1985-09-01,11.748711411335742,
129,,1985-10-01,20.9675197273636,
130,,1985-11-01,30.50727023088239,
131,,1985-12-01,33.62522127169416,
132,,1986-01-01,35.46349519418821,
133,,1986-02-01,42.441156011605514,
134,,1986-03-01,47.10196833120011,
135,,1986-04-01,51.688896006023974,
136,,1986-05-01,54.72762983920713,
137,,1986-06-01,47.60989890496883,
138,,1986-07-01,26.17185602612533,
139,,1986-08-01,36.25768324404443,
140,,1986-09-01,31.135632213151368,
141,,1986-10-01,36.052526716208774,
142,,1986-11-01,36.28037048226977,
143,,1986-12-01,36.45785295315904,
