,Unnamed: 0,Unnamed: 1,Global Factor Paper Version 1990:2012,Global Factor -- 1980:2019 - New Datalist
0,,1980-1,,-1.0169202091777834
1,,1980-2,,-0.94116910107215
2,,1980-3,,-1.5789809838561049
3,,1980-4,,-1.3791554932547188
4,,1980-5,,-1.260464592317604
5,,1980-6,,-1.0041265612100108
6,,1980-7,,-0.79004584753616
7,,1980-8,,-0.7526247118980369
8,,1980-9,,-0.6577957212112124
9,,1980-10,,-0.5300242862000553
10,,1980-11,,-0.4034429318850773
11,,1980-12,,-0.5669969635017457
12,,1981-1,,-0.7014641833416292
13,,1981-2,,-0.7575909389664167
14,,1981-3,,-0.5907957459732122
15,,1981-4,,-0.568802150088655
16,,1981-5,,-0.7000698103610846
17,,1981-6,,-0.778841846110683
18,,1981-7,,-0.9437183737747619
19,,1981-8,,-1.0154672950412462
20,,1981-9,,-1.6393493286886063
21,,1981-10,,-1.5347166167488184
22,,1981-11,,-1.2416199747543935
23,,1981-12,,-1.3097187166055988
24,,1982-1,,-1.4034662967720066
25,,1982-2,,-1.7743010621555362
26,,1982-3,,-1.9906052285639813
27,,1982-4,,-1.886430095165743
28,,1982-5,,-1.9495090466655116
29,,1982-6,,-2.2796907671629696
30,,1982-7,,-2.2908109523647155
31,,1982-8,,-2.1303663464551312
32,,1982-9,,-2.172475609342111
33,,1982-10,,-2.0149705897870502
34,,1982-11,,-1.9601817535218837
35,,1982-12,,-1.7475550332239276
36,,1983-1,,-1.6836894941073581
37,,1983-2,,-1.6327708384618
38,,1983-3,,-1.5407235181776062
39,,1983-4,,-1.2428835090961163
40,,1983-5,,-1.165748030839789
41,,1983-6,,-1.1376058475579767
42,,1983-7,,-1.1569130281313265
43,,1983-8,,-1.1076097948894101
44,,1983-9,,-1.141518575355222
45,,1983-10,,-1.286164964787478
46,,1983-11,,-1.1629826123072258
47,,1983-12,,-1.0606385274860968
48,,1984-1,,-0.9944522475461922
49,,1984-2,,-1.0213859683333835
50,,1984-3,,-0.9461441656995617
51,,1984-4,,-1.0136327069559727
52,,1984-5,,-1.4091150640382577
53,,1984-6,,-1.5312597921645785
54,,1984-7,,-1.7548206745411594
55,,1984-8,,-1.3798396169098577
56,,1984-9,,-1.4933442297368777
57,,1984-10,,-1.5429448849156813
58,,1984-11,,-1.630247031645623
59,,1984-12,,-1.647770311405619
60,,1985-1,,-1.47090731419523
61,,1985-2,,-1.6303145979265623
62,,1985-3,,-1.4780954308816625
63,,1985-4,,-1.507067799663297
64,,1985-5,,-1.5021432678156312
65,,1985-6,,-1.57377291831692
66,,1985-7,,-1.4086093937059834
67,,1985-8,,-1.3975926243020362
68,,1985-9,,-1.5334431475966572
69,,1985-10,,-1.267560121333243
70,,1985-11,,-1.0865872202280438
71,,1985-12,,-1.179422483731018
72,,1986-1,,-1.2374801520931493
73,,1986-2,,-1.1528193031744114
74,,1986-3,,-1.0300295493563563
75,,1986-4,,-0.8263956829620398
76,,1986-5,,-0.9933896375544451
77,,1986-6,,-0.97627204717777
78,,1986-7,,-1.3791410127643788
79,,1986-8,,-1.1422940627041043
80,,1986-9,,-1.2616684605773438
81,,1986-10,,-1.171967735706827
82,,1986-11,,-1.1140833213954695
83,,1986-12,,-1.0255646467593
84,,1987-1,,-0.7358104802294985
85,,1987-2,,-0.5599795279916817
86,,1987-3,,-0.3626141779338529
87,,1987-4,,-0.23739176216832344
88,,1987-5,,-0.07167153873592856
89,,1987-6,,0.11801850798894573
90,,1987-7,,0.340744679763176
91,,1987-8,,0.3419625474050379
92,,1987-9,,0.4049456625918567
93,,1987-10,,-0.7696530878107921
94,,1987-11,,-0.8982583648243038
95,,1987-12,,-0.5551109241135774
96,,1988-1,,-0.5453490352519796
97,,1988-2,,-0.43662747154979314
98,,1988-3,,-0.20076273414177756
99,,1988-4,,-0.1475890012947094
100,,1988-5,,-0.22215496300864426
101,,1988-6,,-0.15276840547907033
102,,1988-7,,-0.14690016672598954
103,,1988-8,,-0.38201427064681565
104,,1988-9,,-0.3680447244329319
105,,1988-10,,-0.3060422712720953
106,,1988-11,,-0.2639909290509581
107,,1988-12,,-0.26150978064075703
108,,1989-1,,-0.02504422008136203
109,,1989-2,,-0.0676690806644529
110,,1989-3,,-0.07629531907327841
111,,1989-4,,0.009723208708012165
112,,1989-5,,-0.057043524907513514
113,,1989-6,,-0.09101003181032853
114,,1989-7,,0.1677644725549808
115,,1989-8,,0.13676118203705992
116,,1989-9,,0.09365078627120924
117,,1989-10,,-0.16444314783043895
118,,1989-11,,-0.11006807189223294
119,,1989-12,,0.049057168502892365
120,,1990-1,-1.038931803267099,0.023384016981680522
121,,1990-2,-1.0129741491374733,0.0016696339910668183
122,,1990-3,-0.8814198355341136,-0.014074277115395703
123,,1990-4,-1.1122695740401034,-0.2038146025684997
124,,1990-5,-0.6599473769486391,0.06474436125612734
125,,1990-6,-0.6594666976603214,0.11021017200578245
126,,1990-7,-0.6727127496937512,0.21466768789021037
127,,1990-8,-1.3364409625144387,-0.15558840582674996
128,,1990-9,-1.8868173756894469,-0.549958695451643
129,,1990-10,-1.9741496815810236,-0.5724606945384092
130,,1990-11,-1.6761587172480483,-0.5363987070781785
131,,1990-12,-1.5573733537811165,-0.5269340468951604
132,,1991-1,-1.3110133504134156,-0.4545770813933603
133,,1991-2,-0.8924975651100014,-0.1481454739952133
134,,1991-3,-0.8803676078520951,-0.23999204027410356
135,,1991-4,-0.8670898373276645,-0.2116166096275433
136,,1991-5,-0.722379508959997,-0.2207129810701417
