NAME,Industrial Production,Capacity Utilization,Housing Starts,House Price Index,Unemployment Rate,CPI All,PCE Deflator,BIS Real EER,Total Nonrevolving Credit,S&P 500,1Y Treasury Rate,Term Spread 10Y-1Y,GZ Excess Bond Premium,GZ Credit Spread,Mortgage Spread,Global Factor,Global Mkt Volatility,Global Risk Aversion,Global Risk Aversion (w\ Controls),Risk Aversion Index BEX,Risk Aversion Index BHD,Risk Appetite Index CBC,CBOE VIX Index,Leverage US Brokers & Dealers,Leverage EU Global Banks ,Leverage EU G-Sifi,Leverage US Banks ,Leverage EU Banks ,Global Private Liquidity,Global Cross Border Flows,Global Domestic Credit,Global Credit Ex US,Floaters Domestic Credit,EU Domestic Credit,EA Domestic Credit,UK Domestic Credit,Global Inflows All Sectors,Global Inflows  Banks,Global Inflows Non-Banks,EU Inflows All Sectors,EU Inflows  Banks,EU Inflows Non-Banks,EA Inflows All Sectors,EA Inflows Banks,EA Inflows Non-Banks,UK Inflows All Sectors,UK Inflows Banks,UK Inflows Non-Banks,Floaters Inflows All Sectors,Floaters Inflows  Banks,Floaters Inflows Non-Banks,Global Real Economic Activity,Global Real Economic Activity Ex US,OECD + 6 IP (Baumeister & Hamilton),Index of Global Real Activity (Kilian),"World GDP (WB, interpolated from annual)",World Production (CPB-NBEPA),EA Industrial Production,UK Industrial Production,UK Corporate Spread,GER Corporate Spread,EA Policy Rate,UK Policy Rate,EUR to 1 USD,GBP to 1 USD,DAX Stock Market,FTSE All Share 
LABEL,INDPRO,CAPUTIL,HOUST,CSHPI,UNRATE,CPIAUCSL,PCEPI,BISREER,NONREVSL,SP500,DGS1,YCSLOPE,EBP,GZSPREAD,MTGSPR,GLOBALF,GLOBALV,GLOBALRA,GLOBALRA2,RAI,RAV,RAPP,VIX,USBDLEV,EUBDLEV,EUGSIFLEV,USBANKSL,EUBANKSL,GLBPLIQ,GLBCBLIQ,GLBCREDIT,GLBCREXUS,FLTCREDIT,EUCREDIT,EACREDIT,UKCREDIT,GLBINFLALL,GLBINFLB,GLBINFLNB,EUINFLALL,EUINFLB,EUINFLNB,EAINFLALL,EAINFLB,EAINFLNB,UKINFLALL,UKINFLB,UKINFLNB,FLTINFLALL,FLTINFLB,FLTINFLNB,GREA,GREAEXUS,BHWORLDIP,KGLOBALREA,WBWORLDGPD,CPBWORLDIP,EAIP,UKIP,UKCORPSP,GERCORPSP,EARATE,UKRATE,EURUSD,GBPUSD,DAX,FTSEAS
1980-01-01,394.78282772115944,82.9697,720.1170883281678,377.4827766250301,6.3,435.67088266895917,373.6335395270232,465.918477429433,569.2808817049436,470.86288943563216,12.0572727272727,-1.255,-0.0647,0.7951,2.08,48.95739069433175,95.345041391968,5.369,,,,-3.4,,226.2936508056379,324.28403937673613,312.35681936606284,-9.92643658939521,3.923467556021981,1566.7226190345928,964.620535247543,868.8780090663732,833.8338077733157,827.5546076944889,770.6132314350707,761.3987494951971,527.6019841777353,666.1003516734305,638.4944034466971,523.9188763094487,603.7263764807047,584.1632830304476,431.1340389916309,573.7075213644074,549.8449750703146,418.72557031407433,469.0815728464506,460.6993610196426,214.72749559302636,643.7749130528409,614.8467100069449,505.46159241555955,390.8327184287019,1.01258049108585,390.8327184287019,34.962973,4.00818002300245,,423.77778590572876,450.6454213048934,1.19,0.16999999999999993,6.0,17.0,-12.581928387405373,-81.71773289767953,622.2576268071368,552.823790214127
1980-02-01,394.8399292418814,82.7333,720.7859871432476,378.12307151781226,6.3,436.94478524670217,374.7101191314061,466.8520501488853,570.0199730954505,474.7537427275013,13.9221052631579,-1.50736842105263,-0.482,0.8606,0.6300001,45.91707497548159,97.34157536970552,7.838918,,,,-3.9,,220.733262879241,324.28403937673613,312.35681936606284,-11.359269897494869,2.410542008303845,1566.5136181265805,1019.5671974185327,867.200044364812,831.087771887041,824.6968935349354,766.311915014879,756.9915148724879,524.391445650356,669.8663561863488,641.39566375187,530.3426791753429,603.5104138342297,583.4605650182784,432.2948322578576,571.9613358274984,546.8954708623869,420.3839454129872,472.1507332853689,464.3728402681094,212.07638759157223,643.9172659174429,614.8101903284024,506.2452589178659,391.18489902883897,1.99813447011149,391.18489902883897,40.312593,3.846871786168693,,423.5341653914708,448.3002552013883,0.769999999999999,-0.08999999999999986,6.07,17.0,-11.222773624589008,-82.81587272158222,625.6709274440827,557.5229147070429
1980-03-01,394.5204364494043,81.903,695.3684210870537,378.8272197991971,6.3,438.3275854074314,375.92447167744996,469.9388861227073,570.0119106041129,465.10991178764914,15.8176190476191,-3.06857142857143,0.2439,0.9382,2.53,27.44577143528019,162.95435850911016,7.565059,,,,-28.9,,216.60778483393827,324.28403937673613,312.35681936606284,-13.03106567669315,1.3869184679357587,1566.995370416956,1036.3756452684968,866.2092771518326,829.4523886030948,822.993468162806,763.7178174610816,754.3312442739973,522.4722495196911,673.6584915875285,644.3240558079397,536.7087546574419,603.3843728583067,583.0488544333405,434.1087445786635,570.9297240344225,545.1360290182757,422.8059271376455,475.0628914299259,467.702562308852,210.49874486475747,644.2075090184121,614.7889068368694,507.5042556619792,391.23361563912647,2.66546604339756,391.23361563912647,42.284294,3.6330202409454504,,422.8015587507115,446.7056883858457,1.18,0.5,7.0,17.0,-5.460228432431771,-79.05007258158551,616.3735768048435,548.2221004524642
1980-04-01,392.4767448912419,80.0058,695.7497370876952,379.50396499423266,6.9,439.3213824064446,376.44738210354194,470.4291276855899,569.4833215896452,463.4728988229636,13.2990476190476,-1.82571428571429,-0.5343,1.0913,4.86,22.96943228667989,134.10651810308747,20.28304,,,,-21.1,,214.20278365817603,324.28403937673613,312.35681936606284,-14.57899546973115,0.8544785847759964,1567.9940085090293,1089.5590517771232,868.404998103251,832.6382993514123,826.1952215295279,766.9061712002226,757.5052024055677,525.2868986174253,676.9037597067614,646.8481858475316,542.0413959799256,605.5773275365606,584.8878239002433,438.8819606027697,573.4275888737441,547.2530414219692,427.9449689932947,477.5017330918252,470.08071677862364,212.5846048595184,646.4447645922174,616.6063322340426,510.93754439709215,389.94869564854224,1.73541878856317,389.94869564854224,60.610379,3.406722743515278,,423.0770510017126,444.8516375942715,1.75,0.7000000000000012,7.0,17.0,-4.0820057855463885,-79.27209854560377,620.6777519307003,551.9378751657922
1980-05-01,390.0219618727008,77.4681,683.1953565565855,380.0197190245889,7.5,440.3054001865957,377.22090617009405,466.56065547919223,568.5827918623863,467.9349584162343,9.38952380952381,0.791904761904762,-0.0293,0.9355,4.08,28.92483467699916,107.7894941199242,21.84625,,,,-17.8,,213.0212883603865,324.28403937673613,312.35681936606284,-15.873060199884048,0.6336297696377113,1570.0774334966618,1108.169629547538,872.776959527673,838.8107287527157,832.3968701065656,772.8077547841547,763.3628826382854,531.1582443412243,679.636778274622,649.0021505839183,546.409234034967,609.8581889946638,588.431855596397,445.8245401976576,578.2634303846746,551.2201670591921,435.1163992881913,479.7660270981866,472.1946236646814,216.49327220725044,650.4586466167918,620.2289155801016,516.1074541452602,388.65923705663226,2.94084170671514,388.65923705663226,63.761737,3.161915210095456,,421.7175008361082,443.6751534363128,1.69,1.1500000000000004,7.48,17.0,-8.787281017122108,-83.3778310299691,621.7603607401991,549.5527535835743
1980-06-01,388.7736460381189,76.1097,708.6737934510577,380.53282667571835,7.6,441.2798293340635,377.8491612803623,464.8133885420207,567.9874953800646,474.14478042806394,8.15619047619047,1.62190476190476,-0.0684,0.8932,2.93,33.62350966271134,89.7686996781855,22.29601,,,,-8.2,,212.73980251006907,324.28403937673613,312.35681936606284,-16.59708605622878,0.5952398275069697,1575.5421318049239,1130.3992956749983,875.7028874699039,842.674020432415,836.2773705996021,775.7837995999564,766.2666839413172,535.8551426976214,681.5192521554171,650.5256267656531,549.2835080273803,612.5011564610436,590.4601340958693,450.4565012414125,581.1859297808255,553.2195099839679,440.11182249294023,481.1452380226889,473.64001824307815,218.45895347563382,653.2230938992213,622.625402065045,519.8894742223586,388.34113684838974,3.30821136945722,388.34113684838974,56.99587,2.9228466637111206,,421.33663581892773,443.43818650078094,1.29999999999999,0.620000000000001,7.5,17.0,-10.13614651965263,-84.83972558305047,624.5137303457014,559.6716802341012
1980-07-01,388.11905324122375,75.2161,714.5984467714387,381.1760583489752,7.8,441.40096805269326,378.6187636580934,463.9571612705423,568.0240183525668,478.5823685681349,8.64681818181819,1.60090909090909,0.0881,0.9098,1.94,47.48820293504174,81.29394596400942,10.8525,,,,4.9,,214.86315391054978,324.28403937673613,312.35681936606284,-16.9247345156105,1.1618520475636689,1571.412287876279,1155.8863947911393,876.7402817449484,843.8069546865537,837.4126392404715,775.8619731792103,766.1793008731344,538.5686392319889,682.6859133560229,651.4717757130013,551.2020334657013,613.113847648493,590.740846584495,452.8893064549096,581.8124573618712,553.2251891226297,443.13401705544464,481.71466530939375,474.4394350106467,216.4022700542665,654.2840723740305,623.349005764165,522.0741533537766,387.8084349615839,2.83800848437362,387.8084349615839,44.877383,2.6822222884471225,,421.7292588484145,440.67192472642535,0.959999999999999,0.36000000000000026,7.5,16.0,-11.291439225822094,-86.42392554023512,626.2826670692666,564.2934911323487
1980-08-01,388.38806994818657,75.4838,726.9616749608169,381.74925215819127,7.7,442.1247347827163,379.44774415731024,464.99523287599845,568.0622678369124,481.62411560680323,10.242380952381,0.85952380952381,-0.0064,0.8443,1.46,47.02109368534538,97.62716399703092,6.653307,,,,4.8,,218.6583520054629,324.28403937673613,312.35681936606284,-17.144437213930356,2.1967307153774445,1572.4034173586924,1165.7398034031924,877.4511375510535,844.5478923984073,838.1543342494714,775.9089149712028,765.9529581717644,540.8119250420806,683.5528047612955,652.1820646179611,552.638019123846,613.480999658504,590.891006111659,454.70602315292126,582.1823347597467,553.2277910107606,445.4662831471296,482.08091220842323,475.0147656595347,212.50135242119842,655.0190547999866,623.8151395128067,523.7729368108229,387.7171278340818,2.17761108643161,387.7171278340818,53.625444,2.4567165999873186,,421.3634372732757,439.56829611213675,0.450000000000001,0.08000000000000007,7.5,16.0,-8.859880355747688,-86.30587172772184,623.7347585391682,564.456311499623
1980-09-01,390.00981865558333,76.5022,729.3697720601438,382.319179172153,7.5,442.96256134731607,380.3680269591114,463.5990328327978,568.2803615870907,484.0242308167575,11.5214285714286,-0.0128571428571427,-0.0616,0.8914,1.69,54.09718976019402,120.38538447790638,-6.924669,,,,10.9,,220.5523380150914,324.28403937673613,312.35681936606284,-17.30601844062944,2.7239308469248864,1576.7925646805952,1172.6632633337417,878.1909014165769,845.276647519937,838.8906593316723,775.9240229288687,765.652117800435,543.2562623454304,684.6170258630633,653.1520278324604,553.6672630862765,614.0623503272599,591.1714921481706,455.3918995977297,582.757703446856,553.233359550004,446.3629662875508,482.67765564449485,475.8800730568462,210.43780269698672,655.987582676637,624.530799693849,525.0156004641019,387.6248666698266,0.474235534479644,387.6248666698266,54.869414,2.2609135161126837,,419.6552278041153,437.7014092850337,1.02999999999999,0.2599999999999998,7.5,16.0,-8.88222922163577,-87.59686123955508,623.2055012025912,567.0777073042217
